Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
377,Thanasis Antetokounmpo,29,MIL,SF,48,6,473,7.1,13.0,.547,0.2,1.4,.143,6.9,11.6,.596,.555,2.9,4.7,.630,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,113,112,,antetth01
378,Admiral Schofield,24,ORL,SF,38,1,469,5.6,13.3,.419,2.7,8.1,.329,2.9,5.2,.560,.519,1.2,1.5,.800,1.8,7.4,9.2,2.6,0.4,0.5,2.2,6.0,15.1,102,115,,schofad01
379,Lindy Waters III,24,OKC,SG,25,1,465,7.4,18.3,.406,5.6,15.3,.363,1.9,3.0,.621,.557,0.4,0.5,.800,0.6,7.0,7.6,2.5,2.0,0.8,1.2,3.2,20.8,110,112,,waterli01
380,Anthony Gill,29,WAS,PF,44,0,463,6.6,11.6,.569,1.5,2.8,.538,5.1,8.9,.578,.633,4.5,5.6,.808,3.5,5.6,9.1,2.9,0.5,1.2,1.9,6.2,19.2,132,117,,gillan01
381,Trevor Ariza,36,LAL,SF,24,11,462,3.4,10.3,.333,2.1,7.7,.270,1.3,2.6,.520,.434,1.0,1.9,.556,1.0,7.5,8.5,2.8,1.3,0.6,1.1,2.1,10.0,97,114,,arizatr01
382,Killian Tillie,23,MEM,C,36,3,461,4.5,13.2,.339,2.8,8.9,.314,1.7,4.3,.390,.445,0.5,0.8,.625,2.2,4.0,6.2,2.3,2.4,1.6,1.3,6.0,12.2,101,109,,tilliki02
383,Dylan Windler,25,CLE,SF,50,0,459,4.0,10.7,.378,2.3,7.6,.300,1.7,3.0,.571,.485,1.6,2.0,.833,2.3,7.4,9.7,3.7,1.5,0.3,1.7,5.1,12.0,110,110,,windldy01
384,Matt Thomas,27,CHI,SG,40,0,459,5.9,14.3,.410,3.7,9.7,.385,2.1,4.6,.465,.541,1.7,2.1,.800,0.3,5.0,5.3,2.1,0.9,0.3,0.9,1.9,17.1,113,117,,thomama02
385,Kelan Martin,26,2TM,SF,30,1,450,7.6,18.6,.409,2.4,8.2,.293,5.2,10.5,.500,.474,1.0,1.4,.692,1.9,4.1,6.0,2.3,1.4,1.0,1.5,3.9,18.6,100,118,,martike03
386,Yuta Watanabe,27,TOR,SF,38,4,445,6.3,15.5,.406,3.0,8.9,.342,3.3,6.6,.492,.504,2.7,4.5,.600,2.0,8.3,10.3,2.4,1.2,1.8,2.1,4.3,18.3,106,110,,watanyu01
