Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
403,Jeremiah Robinson-Earl,23,NOP,PF,39,1,334,6.6,13.9,.474,1.9,5.7,.333,4.7,8.2,.571,.542,1.8,2.3,.750,3.4,7.8,11.2,3.1,1.5,0.6,2.3,3.5,16.9,112,113,,robinje02
404,Neemias Queta,24,BOS,C,28,0,333,9.9,15.4,.644,0.0,0.0,,9.9,15.4,.644,.644,3.0,4.2,.714,7.9,10.2,18.1,3.0,1.9,3.1,1.9,7.4,22.8,139,106,,quetane01
405,Julian Phillips,20,CHI,SF,40,0,323,4.9,11.9,.416,1.9,5.9,.316,3.1,6.0,.513,.494,2.0,2.9,.684,1.9,3.7,5.6,2.0,1.1,1.1,1.5,6.2,13.7,107,119,,phillju01
406,Cody Zeller,31,NOP,C,43,0,320,4.0,9.5,.419,0.2,0.5,.333,3.8,9.0,.424,.427,3.5,5.8,.605,7.4,9.8,17.2,6.0,1.4,0.8,2.5,6.9,11.6,119,112,,zelleco01
407,Ja Morant,24,MEM,PG,9,9,318,12.3,26.1,.471,2.2,7.8,.275,10.1,18.3,.555,.512,8.0,9.8,.813,0.9,6.8,7.7,11.2,1.1,0.8,4.2,2.9,34.7,116,116,,moranja01
408,Ashton Hagans,24,POR,PG,19,1,316,4.5,11.1,.408,1.3,3.9,.320,3.3,7.2,.457,.465,2.2,2.7,.824,2.2,4.8,7.0,8.4,1.7,1.4,4.7,6.3,12.5,99,117,,haganas01
409,Devonte' Graham,28,SAS,PG,23,0,313,5.8,16.4,.352,3.8,12.6,.301,2.0,3.8,.520,.468,2.0,2.4,.813,0.8,4.7,5.5,7.4,1.4,0.3,2.6,2.1,17.3,104,119,,grahade01
410,A.J. Lawson,23,DAL,SG,42,0,311,8.3,18.7,.446,2.0,7.7,.260,6.3,11.0,.577,.500,2.3,3.5,.652,2.2,5.6,7.7,3.1,1.5,0.5,2.2,3.4,21.0,105,117,,lawsoaj01
411,Nathan Mensah,25,CHO,C,25,0,307,1.9,4.5,.429,0.0,0.0,,1.9,4.5,.429,.429,1.4,1.9,.750,4.7,5.8,10.4,1.4,1.0,2.3,2.3,10.3,5.3,104,119,,mensana01
412,Stanley Umude,24,DET,SG,24,2,307,5.8,13.2,.440,3.8,8.3,.453,2.0,4.9,.419,.583,4.5,5.0,.906,1.3,6.7,8.0,1.7,1.3,1.1,2.2,6.3,19.9,119,119,,umudest01
413,Orlando Robinson,23,MIA,C,36,7,304,5.9,11.8,.500,1.3,2.5,.533,4.6,9.4,.491,.556,3.1,4.1,.760,4.6,9.2,13.8,5.6,1.1,1.3,3.0,5.7,16.2,120,111,,robinor01
414,Furkan Korkmaz,26,PHI,SG,35,0,300,4.9,12.5,.395,2.3,6.6,.350,2.6,5.9,.444,.487,2.3,3.3,.700,0.7,4.3,4.9,4.1,2.3,0.5,1.6,2.8,14.4,108,115,,korkmfu01
415,Cory Joseph,32,GSW,PG,26,0,296,3.8,10.5,.359,2.1,6.9,.310,1.6,3.6,.455,.461,0.7,1.1,.571,1.0,3.9,4.9,6.9,0.7,0.5,2.0,4.1,10.3,108,119,,josepco01
416,Ricky Council IV,22,PHI,SG,32,0,289,9.2,19.1,.482,2.0,5.4,.375,7.2,13.6,.525,.536,9.0,12.1,.746,2.4,5.4,7.8,2.7,1.4,0.2,0.9,2.9,29.5,129,117,,councri01
417,Garrett Temple,37,TOR,SG,27,2,289,4.8,13.0,.372,2.0,6.7,.300,2.8,6.3,.447,.449,3.0,3.7,.818,3.0,4.5,7.5,4.7,2.0,0.5,2.3,4.7,14.7,107,120,,templga01
418,Leaky Black,24,CHO,SF,26,3,284,4.3,9.0,.481,1.6,3.5,.450,2.8,5.6,.500,.567,1.7,2.6,.667,1.6,6.8,8.3,4.2,1.4,1.9,1.0,3.3,12.0,124,119,,blackle01
419,Lindy Waters III,26,OKC,SG,38,0,280,8.4,17.9,.471,6.4,14.6,.435,2.1,3.3,.632,.649,0.3,0.3,1.000,1.2,5.7,6.9,4.1,0.9,1.2,1.2,3.9,23.5,128,115,,waterli01
420,Kessler Edwards,23,SAC,SF,54,0,275,6.0,14.5,.415,3.5,9.2,.385,2.5,5.3,.467,.537,0.9,1.6,.556,1.6,5.8,7.4,2.6,1.8,0.7,0.7,4.6,16.4,115,115,,edwarke02
421,Damian Jones,28,CLE,C,39,0,270,7.9,13.2,.597,0.5,2.6,.214,7.3,10.6,.690,.618,3.3,3.8,.857,3.7,7.7,11.3,2.7,1.3,2.4,2.4,4.9,19.6,125,111,,jonesda03
422,Onuralp Bitim,24,CHI,SG,23,1,268,6.0,15.6,.381,2.2,8.2,.273,3.7,7.4,.500,.452,0.7,0.9,.800,1.1,4.8,6.0,2.4,0.6,0.4,1.9,4.5,14.9,94,121,,bitimon01
423,Kira Lewis Jr.,22,3TM,PG,28,0,265,6.2,16.9,.370,0.7,6.1,.121,5.5,10.8,.508,.391,3.1,3.7,.850,1.7,3.1,4.8,6.8,1.7,0.4,2.6,2.4,16.3,100,119,,lewiski01
424,Jamal Cain,24,MIA,PF,26,1,259,6.5,15.2,.430,2.1,6.0,.355,4.4,9.2,.479,.500,3.5,4.4,.783,2.9,4.2,7.1,1.9,1.9,1.0,1.5,4.2,18.7,112,113,,cainja01
425,Jared Rhoden,24,DET,SG,17,0,245,6.5,13.0,.500,2.4,6.1,.387,4.1,6.9,.600,.591,1.0,1.6,.625,0.6,5.9,6.5,2.7,0.6,2.6,1.4,5.5,16.3,115,119,,rhodeja01
426,Justin Champagnie,22,WAS,SF,15,1,235,6.4,15.5,.410,2.6,9.0,.289,3.8,6.6,.576,.494,2.4,3.0,.800,3.8,6.8,10.5,3.8,2.0,1.8,2.0,2.8,17.7,110,117,,champju01
427,Javonte Green,30,CHI,SF,9,5,230,9.8,16.3,.600,2.2,5.9,.370,7.6,10.4,.729,.667,2.2,2.8,.769,4.3,10.2,14.5,1.1,2.2,1.7,1.5,4.1,23.8,132,112,,greenja02
428,Ibou Badji,21,POR,C,22,1,226,3.1,4.8,.636,0.0,0.0,,3.1,4.8,.636,.636,1.3,2.6,.500,4.4,6.8,11.1,2.8,0.7,4.4,3.3,10.0,7.4,104,115,,badjiib01
429,Collin Gillespie,24,DEN,PG,24,0,225,7.0,15.2,.464,3.3,8.4,.395,3.7,6.8,.548,.572,1.8,2.6,.667,0.2,4.4,4.6,5.9,2.9,0.0,3.1,5.3,19.2,109,113,,gilleco01
430,Gabe Vincent,27,LAL,PG,11,0,218,3.3,10.7,.306,0.7,6.1,.107,2.6,4.6,.571,.337,0.2,0.4,.500,0.9,1.1,2.0,4.6,2.0,0.0,1.1,4.1,7.4,86,119,,vincega01
431,Markieff Morris,34,DAL,PF,26,1,216,5.1,15.1,.338,3.3,9.3,.357,1.8,5.8,.308,.449,1.1,1.3,.833,0.9,7.8,8.7,3.6,1.1,0.7,2.7,2.7,14.7,92,116,,morrima02
432,Jaylen Nowell,24,2TM,SG,13,1,214,7.7,17.7,.436,1.4,6.6,.207,6.4,11.1,.571,.474,1.6,2.0,.778,1.4,4.1,5.5,4.3,0.9,0.5,1.6,3.4,18.4,104,120,,nowelja01
433,Théo Maledon,22,2TM,PG,17,1,213,4.6,16.2,.286,1.2,6.9,.167,3.5,9.3,.375,.321,3.2,3.5,.933,0.9,4.6,5.6,6.5,1.6,0.0,4.2,4.9,13.7,81,121,,maledth01
434,Charles Bassey,23,SAS,C,19,0,205,6.7,9.3,.725,0.0,0.2,.000,6.7,9.0,.744,.725,1.2,1.4,.833,5.3,12.3,17.6,4.9,1.9,3.9,3.5,7.2,14.6,126,109,,bassech01
435,Taj Gibson,38,2TM,PF,20,1,204,3.7,9.1,.405,0.5,2.4,.200,3.2,6.6,.481,.432,0.5,0.5,1.000,2.9,6.1,9.1,2.7,0.7,1.7,1.2,7.6,8.3,105,116,,gibsota01
436,Moses Brown,24,POR,C,22,5,200,8.1,16.0,.508,0.0,0.0,,8.1,16.0,.508,.508,2.2,7.7,.290,9.1,12.1,21.2,1.7,1.2,1.7,2.7,6.7,18.5,103,114,,brownmo01
437,Kenneth Lofton Jr.,21,3TM,PF,21,0,199,8.8,19.1,.462,1.7,5.9,.292,7.1,13.2,.537,.506,4.2,6.4,.654,2.9,6.4,9.3,8.1,1.5,1.2,3.4,5.9,23.4,111,117,,loftoke01
438,Kobe Bufkin,20,ATL,SG,17,0,196,8.3,22.5,.370,2.2,9.8,.225,6.1,12.7,.481,.418,1.0,2.0,.500,1.5,6.6,8.1,6.6,1.7,1.2,2.4,4.9,19.8,95,118,,bufkiko01
439,Colby Jones,21,SAC,SG,30,0,192,7.1,18.0,.394,0.5,5.6,.091,6.6,12.4,.531,.408,1.5,2.8,.545,4.3,5.8,10.1,5.1,1.8,1.3,2.5,7.3,16.2,97,115,,jonesco02
440,Gui Santos,21,GSW,PF,23,0,192,7.1,13.9,.509,2.5,6.8,.370,4.5,7.1,.643,.600,4.0,4.3,.941,4.3,8.1,12.3,3.5,1.0,0.5,1.8,5.8,20.7,135,116,,santogu01
441,Terry Taylor,24,CHI,PF,31,0,188,5.3,10.3,.513,0.5,2.4,.222,4.8,8.0,.600,.538,1.1,1.3,.800,4.5,5.3,9.8,2.7,1.3,0.5,1.9,4.5,12.2,117,118,,taylote01
442,Micah Potter,25,UTA,PF,16,0,186,4.9,10.4,.475,2.3,5.4,.429,2.6,4.9,.526,.588,1.6,2.1,.750,2.6,8.6,11.2,1.6,1.0,1.6,1.3,3.6,13.7,123,120,,pottemi01
443,Saben Lee,24,PHO,PG,24,0,185,5.3,14.5,.364,0.5,4.2,.125,4.8,10.3,.462,.382,7.7,10.3,.744,2.4,5.8,8.2,7.9,1.8,0.8,2.1,3.4,18.7,115,115,,leesa01
444,Otto Porter Jr.,30,TOR,SF,15,1,174,3.9,9.2,.424,2.2,6.4,.348,1.7,2.8,.600,.545,0.8,0.8,1.000,1.7,6.4,8.0,2.2,1.4,1.4,0.6,5.3,10.8,123,119,,porteot01
445,AJ Griffin,20,ATL,SF,20,0,171,5.0,17.4,.290,2.8,10.9,.256,2.2,6.5,.348,.371,0.6,0.6,1.000,0.6,4.5,5.0,1.4,0.3,0.6,2.2,1.7,13.5,77,124,,griffaj01
446,Joe Harris,32,DET,SG,16,0,170,4.0,11.0,.359,2.8,8.5,.333,1.1,2.5,.444,.487,0.3,0.6,.500,0.8,2.8,3.7,2.8,0.8,0.6,1.1,5.4,11.0,102,122,,harrijo01
