Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA that were dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Josh Hart,25,NOP,SF,47,4,1349,0.439,0.439,0.302,0.061,0.026,0.049,0.561,0.583,0.654,0.381,0.556,0.412,0.326,0.591,0.984,0.035,12,0.342,0.303,hartjo01
Naz Reid,21,MIN,C,70,15,1347,0.523,0.701,0.418,0.263,0.017,0.002,0.299,0.597,0.704,0.464,0.1,0,0.351,0.626,1,0.084,43,0.224,0.333,reidna01
Terrence Ross,29,ORL,SG,46,2,1347,0.412,0.571,0.063,0.12,0.172,0.216,0.429,0.469,0.744,0.365,0.538,0.391,0.337,0.485,0.775,0.023,11,0.106,0.286,rosste01
Maxi Kleber,29,DAL,PF,50,40,1341,0.422,0.229,0.102,0.047,0.055,0.025,0.771,0.46,0.643,0.154,0.467,0.286,0.41,0.793,1,0.044,8,0.316,0.418,klebima01
Andre Iguodala,37,MIA,SF,63,5,1339,0.383,0.266,0.149,0.048,0.032,0.036,0.734,0.53,0.649,0.5,0.25,0.333,0.33,0.8,0.933,0.077,17,0.478,0.391,iguodan01
Goran Dragić,34,MIA,PG,50,11,1337,0.432,0.56,0.205,0.164,0.142,0.049,0.44,0.479,0.588,0.396,0.456,0.37,0.373,0.322,0.802,0,0,0.172,0.548,dragigo01
Kent Bazemore,31,GSW,SF,67,18,1333,0.449,0.531,0.214,0.168,0.061,0.087,0.469,0.486,0.643,0.485,0.292,0.235,0.408,0.624,0.907,0.01,4,0.527,0.392,bazemke01
Kristaps Porziņģis,25,DAL,C,43,43,1327,0.476,0.622,0.223,0.154,0.157,0.089,0.378,0.536,0.75,0.457,0.402,0.377,0.376,0.711,0.969,0.101,59,0.062,0.625,porzikr01
Christian Wood,25,HOU,C,41,41,1326,0.514,0.678,0.336,0.195,0.069,0.078,0.322,0.581,0.805,0.352,0.455,0.3,0.374,0.687,0.87,0.158,91,0.155,0.406,woodch01
Svi Mykhailiuk,23,TOT,SF,66,14,1324,0.411,0.379,0.209,0.105,0.04,0.026,0.621,0.536,0.66,0.302,0.5,0.538,0.334,0.563,0.886,0.03,14,0.223,0.414,mykhasv01
Derrick Jones Jr.,23,POR,SF,58,43,1318,0.484,0.553,0.467,0.079,0.003,0.003,0.447,0.619,0.662,0.375,1,0,0.316,0.673,0.977,0.197,50,0.522,0.31,jonesde02
Lauri Markkanen,23,CHI,PF,51,26,1317,0.48,0.432,0.24,0.146,0.033,0.013,0.568,0.582,0.672,0.553,0.235,0.143,0.402,0.725,0.992,0.071,33,0.213,0.54,markkla01
Tomáš Satoranský,29,CHI,SG,58,18,1307,0.514,0.641,0.261,0.213,0.116,0.052,0.359,0.602,0.779,0.457,0.395,0.765,0.356,0.425,1,0.036,11,0.305,0.444,satorto01
Bogdan Bogdanović,28,ATL,SG,44,27,1305,0.473,0.411,0.11,0.108,0.122,0.071,0.589,0.522,0.629,0.459,0.464,0.55,0.438,0.397,0.836,0,0,0.216,0.556,bogdabo01
Talen Horton-Tucker,20,LAL,SG,65,4,1304,0.458,0.732,0.413,0.211,0.072,0.037,0.268,0.522,0.639,0.359,0.486,0.222,0.282,0.348,0.73,0.049,15,0.214,0.179,hortota01
Matisse Thybulle,23,PHI,SG,65,8,1298,0.42,0.412,0.255,0.123,0.025,0.008,0.588,0.59,0.742,0.367,0.167,0.5,0.301,0.661,1,0.128,27,0.434,0.242,thybuma01
John Wall,30,HOU,PG,40,40,1288,0.404,0.657,0.293,0.139,0.054,0.171,0.343,0.449,0.568,0.386,0.385,0.315,0.317,0.084,0.709,0.015,10,0.064,0.438,walljo01
Tristan Thompson,29,BOS,C,54,43,1287,0.518,0.991,0.472,0.466,0.046,0.006,0.009,0.523,0.571,0.48,0.467,0.5,0,0.544,0,0.095,26,0,0,thomptr01
Derrick Rose,32,TOT,PG,50,3,1279,0.47,0.789,0.237,0.241,0.164,0.147,0.211,0.492,0.517,0.456,0.51,0.489,0.388,0.228,0.86,0,0,0.147,0.316,rosede01
Cole Anthony,20,ORL,PG,47,34,1273,0.397,0.688,0.185,0.292,0.129,0.083,0.312,0.424,0.588,0.298,0.493,0.391,0.337,0.112,0.621,0.013,4,0.093,0.313,anthoco01
Payton Pritchard,23,BOS,SG,66,4,1268,0.44,0.407,0.146,0.139,0.065,0.057,0.593,0.482,0.639,0.379,0.37,0.458,0.411,0.378,0.843,0,0,0.153,0.447,pritcpa01
Terance Mann,24,LAC,SG,67,10,1263,0.509,0.74,0.371,0.209,0.109,0.051,0.26,0.541,0.708,0.397,0.342,0.333,0.418,0.507,0.842,0.111,32,0.571,0.442,mannte01
Grayson Allen,25,MEM,SG,50,38,1259,0.418,0.338,0.123,0.126,0.07,0.019,0.662,0.471,0.667,0.365,0.414,0.125,0.391,0.606,0.907,0.029,11,0.172,0.34,allengr01
Evan Fournier,28,TOT,SF,42,36,1259,0.457,0.477,0.137,0.155,0.092,0.092,0.523,0.504,0.595,0.5,0.46,0.42,0.413,0.485,0.786,0.006,2,0.155,0.568,fournev01
Deni Avdija,20,WAS,SF,54,32,1257,0.417,0.462,0.144,0.237,0.045,0.035,0.538,0.535,0.733,0.473,0.214,0.545,0.315,0.727,0.962,0.048,11,0.274,0.283,avdijde01
Alec Burks,29,NYK,SG,49,5,1255,0.42,0.508,0.146,0.138,0.128,0.096,0.492,0.425,0.507,0.377,0.422,0.375,0.415,0.426,0.686,0,0,0.301,0.473,burksal01
DeAndre Jordan,32,BKN,C,57,43,1246,0.763,0.996,0.876,0.108,0.004,0.008,0.004,0.766,0.826,0.37,0,0,0,0.8,0,0.61,137,0,0,jordade01
Immanuel Quickley,21,NYK,PG,64,3,1243,0.395,0.478,0.059,0.209,0.148,0.062,0.522,0.401,0.618,0.397,0.36,0.306,0.389,0.198,0.61,0.005,3,0.079,0.375,quickim01
Andre Drummond,27,TOT,C,46,46,1242,0.493,0.986,0.589,0.364,0.026,0.007,0.014,0.5,0.576,0.409,0.2,0,0,0.571,0,0.14,64,0,0,drumman01
Luke Kennard,24,LAC,SG,63,17,1232,0.476,0.459,0.089,0.094,0.143,0.133,0.541,0.511,0.757,0.462,0.475,0.418,0.446,0.66,0.8,0,0,0.295,0.47,kennalu01
Sterling Brown,25,HOU,SG,51,14,1229,0.448,0.358,0.206,0.099,0.021,0.033,0.642,0.492,0.623,0.364,0.286,0.182,0.423,0.542,0.912,0.021,6,0.414,0.371,brownst02
Hamidou Diallo,22,TOT,SF,52,9,1226,0.477,0.826,0.368,0.274,0.096,0.087,0.174,0.505,0.682,0.395,0.244,0.39,0.341,0.434,0.964,0.06,28,0.293,0.292,diallha01
Tyus Jones,24,MEM,PG,70,9,1222,0.431,0.661,0.133,0.225,0.257,0.046,0.339,0.487,0.527,0.484,0.5,0.316,0.321,0.293,0.911,0,0,0.3,0.31,jonesty01
Danilo Gallinari,32,ATL,PF,51,4,1222,0.434,0.465,0.084,0.088,0.152,0.141,0.535,0.466,0.65,0.405,0.472,0.388,0.406,0.515,0.932,0.017,6,0.094,0.333,gallida01
Alex Caruso,26,LAL,PG,58,6,1216,0.436,0.551,0.246,0.144,0.102,0.059,0.449,0.464,0.653,0.341,0.323,0.222,0.401,0.487,0.927,0.039,9,0.409,0.393,carusal01
Malik Beasley,24,MIN,SG,37,36,1214,0.44,0.465,0.192,0.148,0.075,0.05,0.535,0.487,0.6,0.449,0.267,0.5,0.399,0.632,0.875,0.027,13,0.268,0.453,beaslma01
Dean Wade,24,CLE,PF,63,19,1212,0.431,0.315,0.209,0.048,0.032,0.026,0.685,0.571,0.662,0.333,0.5,0.375,0.366,0.696,0.974,0.035,10,0.235,0.5,wadede01
Markieff Morris,31,LAL,PF,61,27,1200,0.405,0.447,0.132,0.138,0.119,0.058,0.553,0.521,0.7,0.5,0.444,0.318,0.311,0.545,1,0.016,5,0.33,0.333,morrima02
Josh Okogie,22,MIN,SG,59,37,1197,0.402,0.575,0.409,0.134,0.012,0.02,0.425,0.5,0.615,0.235,0,0.2,0.269,0.603,1,0.087,16,0.398,0.279,okogijo01
Dwight Howard,35,PHI,C,69,6,1196,0.587,0.934,0.67,0.208,0.023,0.033,0.066,0.611,0.665,0.476,0.286,0.6,0.25,0.59,0.8,0.317,85,0.15,0.333,howardw01
Monte Morris,25,DEN,PG,47,13,1196,0.481,0.654,0.235,0.186,0.119,0.114,0.346,0.534,0.769,0.333,0.543,0.364,0.381,0.4,0.804,0.003,1,0.276,0.27,morrimo01
D'Angelo Russell,24,MIN,PG,42,26,1196,0.431,0.525,0.121,0.118,0.124,0.161,0.475,0.471,0.658,0.481,0.346,0.419,0.387,0.286,0.592,0.002,1,0.084,0.538,russeda01
Blake Griffin,31,TOT,PF,46,30,1186,0.423,0.501,0.265,0.175,0.029,0.032,0.499,0.505,0.633,0.431,0.167,0.154,0.341,0.5,0.757,0.046,18,0.18,0.27,griffbl01
Shai Gilgeous-Alexander,22,OKC,SG,35,35,1180,0.508,0.699,0.333,0.225,0.097,0.044,0.301,0.547,0.633,0.528,0.382,0.36,0.418,0.074,0.296,0.018,10,0.076,0.462,gilgesh01
Aaron Holiday,24,IND,PG,66,8,1176,0.39,0.583,0.239,0.218,0.076,0.05,0.417,0.406,0.481,0.316,0.333,0.545,0.368,0.456,0.925,0,0,0.17,0.581,holidaa01
Paul Millsap,35,DEN,PF,56,36,1162,0.476,0.643,0.244,0.309,0.08,0.01,0.357,0.55,0.694,0.5,0.375,0,0.343,0.613,0.98,0.04,13,0.196,0.464,millspa01
Anthony Davis,27,LAL,PF,36,36,1162,0.491,0.837,0.243,0.204,0.232,0.158,0.163,0.536,0.785,0.536,0.415,0.33,0.26,0.575,0.962,0.098,54,0.16,0.625,davisan02
Kevon Looney,24,GSW,C,61,34,1161,0.548,0.914,0.548,0.223,0.086,0.056,0.086,0.578,0.722,0.364,0.353,0.364,0.235,0.635,1,0.137,26,0.353,0.167,looneke01
Kevin Durant,32,BKN,PF,35,32,1157,0.537,0.687,0.149,0.154,0.254,0.129,0.313,0.577,0.833,0.473,0.536,0.487,0.45,0.477,0.647,0.066,38,0.074,0.643,duranke01
Georges Niang,27,UTA,PF,72,10,1154,0.437,0.279,0.067,0.128,0.072,0.012,0.721,0.469,0.593,0.538,0.276,0.2,0.425,0.698,0.992,0.005,2,0.36,0.419,niangge01
Jarred Vanderbilt,21,MIN,PF,64,30,1139,0.606,0.979,0.78,0.182,0.017,0,0.021,0.615,0.717,0.233,0,0,0.2,0.711,1,0.195,40,0.6,0.333,vandeja01
Grant Williams,22,BOS,PF,63,9,1138,0.437,0.478,0.202,0.202,0.053,0.02,0.522,0.508,0.6,0.5,0.231,0.4,0.372,0.683,1,0.032,8,0.434,0.446,willigr01
Chuma Okeke,22,ORL,PF,45,19,1133,0.417,0.565,0.154,0.157,0.117,0.136,0.435,0.47,0.68,0.333,0.447,0.409,0.348,0.407,0.98,0.022,7,0.149,0.381,okekech01
Wesley Matthews,34,LAL,SG,58,10,1130,0.353,0.218,0.099,0.056,0.028,0.036,0.782,0.418,0.68,0.214,0.286,0.111,0.335,0.609,0.97,0,0,0.289,0.263,matthwe02
D.J. Augustin,33,TOT,PG,57,12,1129,0.394,0.367,0.146,0.102,0.073,0.047,0.633,0.413,0.54,0.371,0.28,0.313,0.382,0.212,0.711,0,0,0.194,0.31,augusdj01
JaMychal Green,30,DEN,PF,58,5,1120,0.463,0.471,0.249,0.158,0.027,0.037,0.529,0.534,0.688,0.407,0.2,0.286,0.399,0.585,1,0.096,27,0.273,0.444,greenja01
Marvin Bagley III,21,SAC,PF,43,42,1112,0.504,0.78,0.373,0.341,0.041,0.024,0.22,0.55,0.727,0.383,0.55,0.167,0.343,0.624,0.919,0.151,67,0.426,0.413,baglema01
Juan Toscano-Anderson,27,GSW,SG,53,16,1107,0.579,0.56,0.392,0.158,0,0.01,0.44,0.718,0.817,0.455,0,1,0.402,0.81,0.973,0.134,26,0.304,0.321,toscaju01
Anfernee Simons,21,POR,SG,64,0,1104,0.419,0.297,0.08,0.11,0.042,0.065,0.703,0.403,0.531,0.295,0.412,0.423,0.426,0.125,0.683,0.01,3,0.152,0.535,simonan01
Larry Nance Jr.,28,CLE,PF,35,27,1091,0.471,0.581,0.313,0.162,0.059,0.048,0.419,0.551,0.682,0.432,0.25,0.462,0.36,0.747,0.951,0.169,42,0.281,0.344,nancela02
Aleksej Pokusevski,19,OKC,PF,45,28,1090,0.341,0.493,0.137,0.147,0.12,0.088,0.507,0.403,0.554,0.333,0.408,0.278,0.28,0.432,0.914,0.032,11,0.193,0.325,pokusal01
PJ Dozier,24,DEN,SG,50,6,1088,0.417,0.58,0.239,0.186,0.076,0.079,0.42,0.49,0.682,0.364,0.259,0.429,0.315,0.564,0.872,0.051,12,0.315,0.298,doziepj01
Xavier Tillman Sr.,22,MEM,PF,59,12,1085,0.559,0.783,0.348,0.254,0.157,0.023,0.217,0.62,0.731,0.526,0.574,0.286,0.338,0.828,1,0.104,26,0.523,0.353,tillmxa01
Victor Oladipo,28,TOT,SG,33,33,1080,0.408,0.585,0.247,0.156,0.085,0.097,0.415,0.466,0.655,0.356,0.306,0.304,0.326,0.357,0.654,0.03,14,0.151,0.306,oladivi01
Gary Harris,26,TOT,SG,39,38,1080,0.4,0.591,0.235,0.191,0.067,0.099,0.409,0.441,0.605,0.318,0.391,0.324,0.34,0.633,0.854,0.032,10,0.333,0.426,harriga01
Cameron Payne,26,PHX,PG,60,1,1079,0.484,0.58,0.159,0.253,0.124,0.043,0.42,0.515,0.667,0.43,0.49,0.529,0.44,0.28,0.685,0,0,0.133,0.455,payneca01
Damion Lee,28,GSW,SG,57,1,1079,0.467,0.292,0.08,0.091,0.091,0.029,0.708,0.638,0.773,0.68,0.52,0.5,0.397,0.863,0.961,0.007,2,0.309,0.45,leeda03
Terence Davis,23,TOT,SG,61,4,1074,0.428,0.414,0.235,0.136,0.011,0.033,0.586,0.513,0.636,0.323,0.6,0.4,0.367,0.505,0.827,0.044,20,0.217,0.431,daviste02
KJ Martin,20,HOU,SF,45,8,1068,0.509,0.698,0.469,0.214,0.013,0.003,0.302,0.572,0.711,0.294,0.25,0,0.365,0.701,1,0.226,63,0.292,0.286,martike04
Derrick White,26,SAS,SG,36,32,1064,0.411,0.464,0.143,0.21,0.082,0.029,0.536,0.486,0.646,0.474,0.27,0.385,0.346,0.48,0.869,0.009,4,0.177,0.488,whitede01
Furkan Korkmaz,23,PHI,SG,55,11,1062,0.401,0.366,0.137,0.09,0.064,0.075,0.634,0.445,0.655,0.289,0.333,0.344,0.375,0.449,0.941,0.026,10,0.249,0.403,korkmfu01
Devin Vassell,20,SAS,SF,62,7,1056,0.406,0.505,0.125,0.086,0.168,0.125,0.495,0.464,0.658,0.5,0.431,0.289,0.347,0.648,0.942,0.053,14,0.42,0.413,vassede01
Brad Wanamaker,31,TOT,PG,61,0,1053,0.385,0.716,0.311,0.227,0.064,0.114,0.284,0.463,0.602,0.338,0.316,0.412,0.188,0.545,0.688,0.017,5,0.047,0,wanambr01
Timothé Luwawu-Cabarrot,25,BKN,SF,58,7,1050,0.365,0.329,0.208,0.062,0.028,0.031,0.671,0.47,0.568,0.318,0.1,0.455,0.314,0.691,0.987,0.014,3,0.351,0.31,luwawti01
De'Anthony Melton,22,MEM,PG,52,1,1045,0.438,0.463,0.163,0.155,0.104,0.041,0.537,0.467,0.609,0.295,0.561,0.313,0.412,0.412,0.793,0.033,12,0.213,0.467,meltode01
James Johnson,33,TOT,PF,51,12,1043,0.446,0.633,0.364,0.205,0.049,0.015,0.367,0.556,0.672,0.403,0.313,0.6,0.258,0.557,0.935,0.043,12,0.433,0.231,johnsja01
Derrick Favors,29,UTA,C,68,0,1039,0.638,0.992,0.547,0.259,0.132,0.053,0.008,0.643,0.729,0.619,0.469,0.308,0,0.781,0,0.128,26,1,0,favorde01
