Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA that were dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Danuel House Jr.,27,HOU,SF,36,23,932,0.404,0.426,0.224,0.103,0.037,0.063,0.574,0.483,0.557,0.464,0.3,0.353,0.346,0.643,0.815,0.074,16,0.353,0.291,houseda01
Malachi Flynn,22,TOR,PG,47,14,928,0.374,0.506,0.126,0.174,0.109,0.097,0.494,0.424,0.605,0.407,0.405,0.242,0.321,0.082,0.722,0,0,0.095,0.375,flynnma01
Ish Smith,32,WAS,PG,44,1,924,0.434,0.835,0.189,0.202,0.215,0.229,0.165,0.448,0.554,0.45,0.391,0.412,0.367,0.261,0.944,0.003,1,0.388,0.421,smithis01
Moses Brown,21,OKC,C,43,32,920,0.545,1,0.772,0.224,0.004,0,0,0.545,0.628,0.267,0,0,0,0.507,0,0.321,78,0,0,brownmo01
Trey Burke,28,DAL,PG,62,1,911,0.428,0.535,0.159,0.096,0.139,0.142,0.465,0.492,0.518,0.441,0.51,0.48,0.354,0.312,0.897,0,0,0.293,0.313,burketr01
Damyean Dotson,26,CLE,SG,46,7,907,0.406,0.457,0.174,0.075,0.072,0.137,0.543,0.545,0.667,0.591,0.333,0.475,0.289,0.493,0.891,0.007,2,0.208,0.333,dotsoda01
Willie Cauley-Stein,27,DAL,C,53,16,906,0.632,0.94,0.791,0.082,0.044,0.022,0.06,0.667,0.694,0.533,0.375,0.75,0.091,0.825,1,0.363,53,0.364,0,caulewi01
Taurean Prince,26,TOT,PF,41,10,905,0.401,0.526,0.183,0.18,0.104,0.058,0.474,0.401,0.55,0.271,0.382,0.368,0.4,0.536,0.855,0.024,7,0.284,0.523,princta02
Ben McLemore,27,TOT,SG,53,5,905,0.37,0.233,0.099,0.041,0.022,0.071,0.767,0.447,0.639,0.333,0.25,0.308,0.346,0.816,0.959,0.014,4,0.236,0.5,mclembe01
Kira Lewis Jr.,19,NOP,PG,54,0,904,0.386,0.644,0.267,0.252,0.089,0.036,0.356,0.415,0.611,0.318,0.2,0.167,0.333,0.378,0.8,0.012,4,0.183,0.273,lewiski01
Jalen McDaniels,23,CHA,SF,47,18,904,0.468,0.63,0.338,0.239,0.042,0.011,0.37,0.547,0.688,0.382,0.333,0.667,0.333,0.633,1,0.099,24,0.514,0.333,mcdanja01
Juancho Hernangómez,25,MIN,PF,52,6,900,0.435,0.438,0.334,0.097,0.007,0,0.562,0.573,0.69,0.207,0,0,0.327,0.747,0.982,0.047,12,0.226,0.447,hernaju01
R.J. Hampton,19,TOT,SG,51,1,888,0.435,0.722,0.246,0.272,0.118,0.086,0.278,0.482,0.662,0.376,0.378,0.444,0.31,0.358,0.926,0.045,11,0.253,0.5,hamptrj01
Jusuf Nurkić,26,POR,C,37,37,880,0.514,0.91,0.565,0.27,0.042,0.033,0.09,0.525,0.596,0.433,0.5,0.091,0.4,0.711,0.917,0.093,28,0,0,nurkiju01
Malik Monk,22,CHA,SG,42,0,878,0.434,0.469,0.228,0.125,0.065,0.05,0.531,0.471,0.582,0.4,0.231,0.45,0.401,0.432,0.8,0.023,8,0.156,0.576,monkma01
Dario Šarić,26,PHX,C,50,4,871,0.447,0.605,0.269,0.228,0.073,0.035,0.395,0.512,0.674,0.359,0.52,0.25,0.348,0.736,1,0,0,0.119,0.563,saricda01
Sekou Doumbouya,20,DET,PF,56,11,869,0.379,0.592,0.376,0.167,0.039,0.011,0.408,0.485,0.642,0.277,0,0,0.226,0.667,1,0.082,19,0.304,0.257,doumbse01
Edmond Sumner,25,IND,SG,53,24,861,0.525,0.688,0.443,0.195,0.035,0.014,0.312,0.582,0.712,0.364,0.4,0,0.398,0.69,0.943,0.064,18,0.386,0.441,sumneed01
Mitchell Robinson,22,NYK,C,31,29,853,0.653,1,0.909,0.091,0,0,0,0.653,0.688,0.313,0,0,0,0.626,0,0.528,84,0,0,robinmi01
Mike Scott,32,PHI,PF,51,12,852,0.36,0.265,0.085,0.076,0.052,0.052,0.735,0.411,0.5,0.5,0.273,0.273,0.342,0.739,1,0.009,1,0.277,0.465,scottmi01
Cody Martin,25,CHA,SF,52,10,849,0.441,0.691,0.436,0.117,0.074,0.064,0.309,0.515,0.561,0.636,0.214,0.333,0.276,0.597,0.875,0.085,15,0.586,0.265,martico01
Willy Hernangómez,26,NOP,C,47,12,846,0.563,0.963,0.642,0.246,0.063,0.011,0.037,0.581,0.634,0.5,0.412,0.333,0.1,0.667,1,0.123,27,0.3,0.333,hernawi01
Austin Rivers,28,TOT,SG,36,7,845,0.424,0.392,0.171,0.163,0.049,0.008,0.608,0.51,0.714,0.3,0.5,0.5,0.369,0.286,0.764,0,0,0.208,0.29,riverau01
Trevor Ariza,35,MIA,SF,30,27,841,0.411,0.407,0.286,0.095,0.008,0.017,0.593,0.5,0.609,0.261,0,0.25,0.35,0.776,0.94,0.041,9,0.413,0.373,arizatr01
Chasson Randle,27,ORL,PG,41,5,837,0.388,0.451,0.203,0.131,0.051,0.068,0.549,0.449,0.708,0.258,0.167,0.25,0.338,0.271,0.682,0,0,0.138,0.278,randlch01
James Wiseman,19,GSW,C,39,27,836,0.519,0.897,0.356,0.285,0.101,0.155,0.103,0.542,0.794,0.419,0.243,0.386,0.316,0.827,0.833,0.258,84,0.079,0.333,wisemja01
Kevin Porter Jr.,20,HOU,SG,26,23,835,0.425,0.561,0.21,0.18,0.095,0.076,0.439,0.515,0.74,0.364,0.4,0.393,0.311,0.179,0.4,0.052,18,0.137,0.318,porteke02
Patrick Beverley,32,LAC,PG,37,34,832,0.423,0.359,0.173,0.132,0.032,0.023,0.641,0.468,0.5,0.483,0.286,0.4,0.397,0.378,0.929,0,0,0.291,0.463,beverpa01
Caleb Martin,25,CHA,SF,53,3,818,0.375,0.512,0.285,0.094,0.012,0.121,0.488,0.496,0.575,0.375,0.333,0.419,0.248,0.6,0.871,0.039,7,0.248,0.258,martica02
Torrey Craig,30,TOT,SF,50,8,803,0.48,0.533,0.304,0.137,0.048,0.044,0.467,0.579,0.783,0.194,0.727,0.2,0.368,0.571,0.974,0.066,14,0.321,0.265,craigto01
Michael Carter-Williams,29,ORL,SG,31,25,800,0.389,0.774,0.304,0.307,0.104,0.059,0.226,0.431,0.622,0.337,0.25,0.25,0.246,0.344,0.867,0.03,7,0.197,0.417,cartemi01
Daniel Gafford,22,TOT,C,54,11,791,0.684,1,0.573,0.382,0.027,0.018,0,0.684,0.791,0.57,0.333,0.25,0,0.714,0,0.338,71,0,0,gaffoda01
Eric Gordon,32,HOU,SG,27,13,789,0.433,0.428,0.248,0.153,0.022,0.005,0.572,0.573,0.747,0.357,0.25,0,0.329,0.311,0.754,0.005,2,0.048,0.5,gordoer01
Ty Jerome,23,OKC,SG,33,1,788,0.446,0.415,0.059,0.226,0.087,0.042,0.585,0.479,0.647,0.508,0.48,0.083,0.423,0.228,0.817,0,0,0.155,0.462,jeromty01
Al Horford,34,OKC,C,28,28,782,0.45,0.578,0.169,0.225,0.1,0.083,0.422,0.51,0.672,0.444,0.444,0.433,0.368,0.566,0.929,0.031,9,0.118,0.222,horfoal01
Saben Lee,21,DET,PG,48,7,781,0.471,0.89,0.386,0.429,0.062,0.014,0.11,0.487,0.617,0.378,0.462,0.333,0.348,0.352,1,0.043,5,0.348,0.625,leesa01
Maurice Harkless,27,TOT,SF,37,23,772,0.418,0.491,0.321,0.109,0.012,0.048,0.509,0.568,0.66,0.333,0.5,0.5,0.274,0.717,0.913,0.139,18,0.429,0.333,harklma01
Rajon Rondo,34,TOT,PG,45,3,770,0.442,0.586,0.326,0.195,0.023,0.042,0.414,0.468,0.6,0.262,0.4,0.444,0.404,0.136,0.639,0,0,0.112,0.4,rondora01
Mychal Mulder,26,GSW,PG,60,6,766,0.449,0.192,0.147,0.034,0.004,0.008,0.808,0.667,0.795,0.333,0,0,0.397,0.912,1,0.057,14,0.322,0.377,muldemy01
Jeremy Lamb,28,IND,SG,36,8,765,0.435,0.536,0.181,0.159,0.149,0.047,0.464,0.459,0.58,0.364,0.488,0.231,0.406,0.529,0.827,0,0,0.094,0.417,lambje01
Jaylen Nowell,21,MIN,SG,42,0,759,0.424,0.552,0.176,0.179,0.125,0.072,0.448,0.497,0.559,0.383,0.619,0.417,0.333,0.446,0.8,0.015,5,0.193,0.448,nowelja01
Drew Eubanks,23,SAS,C,54,3,755,0.566,0.99,0.527,0.371,0.034,0.059,0.01,0.562,0.667,0.408,0.429,0.667,1,0.772,1,0.2,37,1,1,eubandr01
Cam Reddish,21,ATL,SF,26,21,750,0.365,0.521,0.243,0.16,0.068,0.049,0.479,0.46,0.656,0.262,0.278,0.385,0.262,0.603,0.939,0.053,11,0.27,0.324,reddica01
Frank Jackson,22,DET,PG,40,6,738,0.457,0.488,0.133,0.208,0.109,0.038,0.512,0.51,0.59,0.541,0.406,0.364,0.407,0.548,0.984,0.02,4,0.42,0.508,jacksfr01
Precious Achiuwa,21,MIA,PF,61,4,737,0.544,0.996,0.667,0.263,0.039,0.026,0.004,0.546,0.645,0.367,0.333,0.167,0,0.734,0,0.259,48,0,0,achiupr01
Mo Bamba,22,ORL,C,46,5,725,0.472,0.608,0.306,0.166,0.063,0.073,0.392,0.568,0.728,0.46,0.263,0.409,0.322,0.577,1,0.15,38,0.102,0.417,bambamo01
Yuta Watanabe,26,TOR,SF,50,4,723,0.439,0.5,0.217,0.178,0.1,0.006,0.5,0.478,0.667,0.375,0.222,1,0.4,0.651,0.972,0.078,13,0.456,0.293,watanyu01
JJ Redick,36,TOT,SG,44,0,723,0.397,0.333,0.022,0.007,0.082,0.221,0.667,0.449,0.667,0.5,0.409,0.441,0.371,0.775,0.939,0,0,0.18,0.375,redicjj01
Moritz Wagner,23,TOT,C,45,24,722,0.454,0.603,0.306,0.271,0.009,0.017,0.397,0.529,0.643,0.419,0,0.5,0.341,0.863,0.968,0.105,22,0.187,0.294,wagnemo01
Jevon Carter,25,PHX,PG,60,1,717,0.422,0.323,0.076,0.054,0.072,0.121,0.677,0.528,0.588,0.417,0.563,0.519,0.371,0.526,0.946,0.004,1,0.252,0.395,carteje01
Frank Kaminsky,27,PHX,C,47,13,715,0.471,0.669,0.276,0.276,0.07,0.047,0.331,0.523,0.676,0.451,0.444,0.167,0.365,0.767,1,0.035,9,0.188,0.5,kaminfr01
DeMarcus Cousins,30,TOT,C,41,11,713,0.426,0.557,0.348,0.17,0.013,0.026,0.443,0.488,0.547,0.404,0.25,0.375,0.348,0.47,0.979,0.056,13,0.067,0.333,couside01
Naji Marshall,23,NOP,SF,32,10,700,0.392,0.603,0.321,0.163,0.086,0.033,0.397,0.421,0.552,0.294,0.333,0,0.349,0.547,0.966,0.038,6,0.482,0.325,marshna01
Eric Paschall,24,GSW,PF,40,2,695,0.497,0.819,0.265,0.265,0.104,0.185,0.181,0.533,0.671,0.443,0.452,0.509,0.333,0.562,0.944,0.081,22,0.204,0.364,pascher01
Tyler Johnson,28,BKN,SG,39,3,684,0.393,0.279,0.082,0.055,0.066,0.077,0.721,0.471,0.6,0.4,0.417,0.429,0.364,0.625,0.958,0,0,0.311,0.415,johnsty01
Tony Bradley,23,TOT,C,42,8,684,0.665,0.985,0.569,0.325,0.046,0.046,0.015,0.675,0.741,0.656,0.444,0.222,0,0.687,0,0.107,20,0.333,0,bradlto01
Obi Toppin,22,NYK,PF,62,0,683,0.498,0.593,0.392,0.129,0.043,0.029,0.407,0.629,0.695,0.481,0.444,0.667,0.306,0.641,0.962,0.182,34,0.412,0.286,toppiob01
David Nwaba,28,HOU,SF,30,9,679,0.486,0.711,0.482,0.206,0.023,0,0.289,0.574,0.667,0.422,0,0,0.27,0.562,1,0.06,12,0.46,0.207,nwabada01
De'Andre Hunter,23,ATL,SF,23,19,678,0.484,0.617,0.226,0.129,0.153,0.109,0.383,0.582,0.661,0.563,0.474,0.593,0.326,0.629,0.903,0.044,10,0.326,0.29,huntede01
JaVale McGee,33,TOT,C,46,2,678,0.511,0.915,0.433,0.379,0.085,0.018,0.085,0.539,0.689,0.43,0.292,0.4,0.208,0.59,1,0.167,44,0.167,0.25,mcgeeja01
LaMarcus Aldridge,35,TOT,C,26,23,674,0.473,0.73,0.152,0.122,0.152,0.304,0.27,0.505,0.622,0.472,0.444,0.489,0.388,0.688,0.968,0.044,12,0.175,0.429,aldrila01
George Hill,34,TOT,PG,30,17,672,0.482,0.594,0.259,0.147,0.112,0.076,0.406,0.547,0.647,0.483,0.455,0.467,0.388,0.453,0.806,0.01,2,0.288,0.435,hillge01
Killian Hayes,19,DET,PG,26,18,670,0.353,0.642,0.09,0.353,0.144,0.055,0.358,0.395,0.444,0.408,0.414,0.182,0.278,0.235,0.85,0.005,1,0.167,0.167,hayeski01
Aaron Nesmith,21,BOS,SF,46,1,669,0.438,0.393,0.169,0.163,0.051,0.011,0.607,0.543,0.667,0.448,0.444,0.5,0.37,0.447,1,0.034,4,0.398,0.372,nesmiaa01
Gabe Vincent,24,MIA,PG,50,7,655,0.378,0.361,0.21,0.09,0.026,0.034,0.639,0.5,0.633,0.286,0.5,0.25,0.309,0.476,0.804,0.004,0,0.275,0.244,vincega01
Gary Clark,26,TOT,SF,39,11,654,0.303,0.182,0.061,0.083,0.015,0.023,0.818,0.375,0.875,0.182,0,0,0.287,0.667,1,0.015,2,0.398,0.419,clarkga01
Mike Muscala,29,OKC,C,35,0,645,0.446,0.311,0.131,0.075,0.041,0.064,0.689,0.614,0.714,0.5,0.818,0.412,0.37,0.765,0.971,0.015,4,0.255,0.426,muscami01
Nassir Little,20,POR,PF,48,2,640,0.467,0.521,0.269,0.114,0.054,0.084,0.479,0.575,0.689,0.526,0.444,0.357,0.35,0.56,0.821,0.09,13,0.163,0.385,littlna01
Jake Layman,26,MIN,SF,45,11,627,0.495,0.576,0.413,0.125,0.016,0.022,0.424,0.642,0.75,0.348,0.333,0.5,0.295,0.765,1,0.136,23,0.346,0.148,laymaja01
Kevin Love,32,CLE,PF,25,25,622,0.409,0.381,0.115,0.123,0.079,0.063,0.619,0.479,0.621,0.484,0.4,0.313,0.365,0.609,0.895,0,0,0.103,0.438,loveke01
Brandon Goodwin,25,ATL,PG,47,5,620,0.377,0.538,0.233,0.157,0.099,0.049,0.462,0.433,0.481,0.4,0.455,0.273,0.311,0.269,0.688,0,0,0.107,0.455,goodwbr01
Otto Porter Jr.,27,TOT,SF,28,6,606,0.432,0.542,0.137,0.154,0.11,0.141,0.458,0.48,0.774,0.314,0.48,0.375,0.375,0.61,0.974,0.004,1,0.288,0.467,porteot01
