Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Edmond Sumner,25,IND,SG,53,24,861,8.1,15.5,1.9,4.8,6.2,10.7,3.7,4.6,1,4.2,5.2,2.7,1.8,0.5,2.8,4.8,21.9,112,115,sumneed01
Mitchell Robinson,22,NYK,C,31,29,853,6.7,10.3,0,0,6.7,10.3,1.5,3.1,6.6,8.2,14.8,1,2.1,2.6,1.5,5,15,131,104,robinmi01
Mike Scott,32,PHI,PF,51,12,852,4.3,11.9,3,8.8,1.3,3.2,0.5,0.7,0.6,6.2,6.8,2.3,1.4,0.8,1.1,4.1,12.1,101,110,scottmi01
Cody Martin,25,CHA,SF,52,10,849,4.8,10.8,0.9,3.3,3.9,7.5,1.4,2.5,3,6.3,9.3,4.9,2.1,0.7,2.3,3,11.9,107,113,martico01
Willy Hernangómez,26,NOP,C,47,12,846,8.6,15.2,0.1,0.6,8.5,14.6,3.5,5.3,6.6,12.3,18.9,2.8,1.2,1.3,1.9,3.9,20.7,125,111,hernawi01
Austin Rivers,28,TOT,SG,36,7,845,6.1,14.4,3.2,8.8,2.9,5.7,1.3,1.8,0.5,4.4,4.8,4.8,1.8,0.1,2.1,3.8,16.8,109,112,riverau01
Trevor Ariza,35,MIA,SF,30,27,841,5.8,14.2,3,8.4,2.9,5.8,2,2.6,1.6,6.9,8.5,3.2,1.8,1.1,1.2,3.2,16.7,111,111,arizatr01
Chasson Randle,27,ORL,PG,41,5,837,5.3,13.8,2.6,7.6,2.8,6.2,2.2,2.8,0.4,4.4,4.8,4.3,1.3,0.3,2.7,3.7,15.5,98,117,randlch01
James Wiseman,19,GSW,C,39,27,836,10.7,20.7,0.7,2.1,10.1,18.5,3,4.8,3.1,9.6,12.7,1.5,0.6,2,3.4,6.8,25.2,100,109,wisemja01
Kevin Porter Jr.,20,HOU,SG,26,23,835,8.8,20.8,2.8,9.1,6,11.7,3.9,5.3,1.1,4.5,5.6,9.3,1.1,0.5,5.2,3.5,24.4,101,118,porteke02
Patrick Beverley,32,LAC,PG,37,34,832,5.5,13.1,3.3,8.4,2.2,4.7,2.1,2.7,1.7,5.4,7.1,4.5,1.7,1.7,2,6.4,16.5,118,110,beverpa01
Caleb Martin,25,CHA,SF,53,3,818,5.7,15.3,1.9,7.5,3.9,7.8,2.4,3.8,1.9,6.6,8.4,4,2.2,0.7,2,3.7,15.8,99,112,martica02
Torrey Craig,30,TOT,SF,50,8,803,6.6,13.8,2.4,6.4,4.2,7.3,1,1.3,3.5,8.5,12,3,1.7,1.6,1.5,5,16.6,120,109,craigto01
Michael Carter-Williams,29,ORL,SG,31,25,800,6.4,16.4,0.9,3.7,5.5,12.7,3,4.9,2.4,6.1,8.5,7.8,1.5,1,4.2,4.9,16.7,93,115,cartemi01
Daniel Gafford,22,TOT,C,54,11,791,9.2,13.4,0,0,9.2,13.4,4.3,6.4,5.6,8.2,13.8,1.7,1.6,4.5,2.4,5.9,22.7,131,107,gaffoda01
Eric Gordon,32,HOU,SG,27,13,789,9.5,22,4.1,12.6,5.4,9.4,5.6,6.8,0.5,3,3.5,4.3,0.8,0.8,3.1,2.6,28.9,108,119,gordoer01
Ty Jerome,23,OKC,SG,33,1,788,7.7,17.3,4.3,10.1,3.4,7.2,1.6,2.1,0.6,4.9,5.5,7.2,1.2,0.4,2.8,3.7,21.3,113,116,jeromty01
Al Horford,34,OKC,C,28,28,782,9.8,21.9,3.4,9.2,6.4,12.6,1.1,1.3,1.8,9.7,11.4,5.7,1.5,1.6,1.8,2.9,24.2,111,112,horfoal01
