Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Drew Eubanks,23,SAS,C,54,3,755,-5.4,-4.7,11,10,56,16,43,6,97,10,19,eubandr01
Cam Reddish,21,ATL,SF,26,21,750,-3,-7.1,12,14,34,4,39,4,83,4,22,reddica01
Frank Jackson,22,DET,PG,40,6,738,-0.6,5,12,6,27,6,32,8,90,8,16,jacksfr01
Precious Achiuwa,21,MIA,PF,61,4,737,-6.3,-8,14,13,48,14,59,6,79,10,32,achiupr01
Mo Bamba,22,ORL,C,46,5,725,-13.4,-5.6,10,12,57,10,34,3,84,9,18,bambamo01
Yuta Watanabe,26,TOR,SF,50,4,723,-2.8,-2.6,7,7,36,0,13,6,96,3,9,watanyu01
JJ Redick,36,TOT,SG,44,0,723,-1.4,-1.9,17,8,29,6,19,14,113,7,8,redicjj01
Moritz Wagner,23,TOT,C,45,24,722,-8.5,-4.3,13,9,53,14,38,20,125,7,19,wagnemo01
Jevon Carter,25,PHX,PG,60,1,717,3.9,-2.7,9,4,30,1,4,3,177,2,7,carteje01
Frank Kaminsky,27,PHX,C,47,13,715,4.3,-2.3,13,6,43,1,31,7,188,6,21,kaminfr01
DeMarcus Cousins,30,TOT,C,41,11,713,-4.1,0,30,16,56,12,33,10,187,9,22,couside01
Naji Marshall,23,NOP,SF,32,10,700,-2.5,-2.5,23,7,37,1,36,3,199,7,14,marshna01
Eric Paschall,24,GSW,PF,40,2,695,-6.7,-9.4,9,17,33,13,51,3,139,16,25,pascher01
Tyler Johnson,28,BKN,SG,39,3,684,4.8,-0.2,12,4,26,0,7,8,112,0,6,johnsty01
Tony Bradley,23,TOT,C,42,8,684,-1.6,2.5,8,9,32,13,27,0,82,3,18,bradlto01
Obi Toppin,22,NYK,PF,62,0,683,2.8,0.3,9,5,32,6,14,3,77,4,11,toppiob01
David Nwaba,28,HOU,SF,30,9,679,-1.3,8.4,5,9,27,1,37,13,79,12,26,nwabada01
De'Andre Hunter,23,ATL,SF,23,19,678,6,4.2,6,15,26,4,35,10,109,3,8,huntede01
JaVale McGee,33,TOT,C,46,2,678,-4.5,0.4,27,10,59,16,29,2,89,5,13,mcgeeja01
LaMarcus Aldridge,35,TOT,C,26,23,674,-3.4,-3.6,13,4,34,6,23,0,124,2,9,aldrila01
