Rank,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
115,LeBron James,38,LAL,PF,55,54,1954,.500,12.8,.691,.302,.197,.084,.107,.309,.580,.788,.463,.340,.397,.321,.395,.628,.062,74,.080,.267,0,0,ASNBA3,jamesle01
116,Herbert Jones,24,NOP,PF,66,66,1951,.469,10.8,.667,.381,.220,.018,.038,.333,.536,.660,.391,.444,.211,.335,.659,.911,.084,37,.503,.321,1,0,,joneshe01
117,Torrey Craig,32,PHO,PF,79,60,1948,.456,15.0,.494,.266,.138,.062,.028,.506,.518,.699,.319,.258,.357,.395,.570,.990,.044,17,.474,.450,1,0,,craigto01
118,Ja Morant,23,MEM,PG,61,59,1948,.466,11.1,.753,.289,.295,.144,.025,.247,.519,.652,.419,.463,.467,.307,.181,.533,.058,55,.100,.433,3,0,MVP-12AS,moranja01
119,Kelly Olynyk,31,UTA,C,68,68,1942,.499,14.1,.576,.223,.269,.048,.036,.424,.576,.702,.540,.296,.450,.394,.643,.968,.025,13,.203,.438,0,0,,olynyke01
120,Stephen Curry,34,GSW,PG,56,56,1941,.493,18.8,.436,.107,.191,.063,.076,.564,.579,.760,.551,.493,.465,.427,.371,.593,.000,0,.097,.597,9,1,MVP-9CPOY-9ASNBA2,curryst01
121,Tyus Jones,26,MEM,PG,80,22,1940,.438,16.6,.541,.085,.182,.235,.039,.459,.495,.600,.488,.473,.429,.371,.284,.793,.000,0,.202,.530,0,0,6MOY-6,jonesty01
122,Paul George,32,LAC,SF,56,56,1939,.457,16.7,.576,.145,.140,.132,.157,.424,.521,.699,.553,.421,.411,.371,.322,.614,.042,36,.134,.491,4,0,AS,georgpa01
123,Al Horford,36,BOS,C,63,63,1922,.476,18.8,.322,.140,.123,.038,.021,.678,.539,.672,.525,.278,.200,.446,.675,.993,.023,11,.378,.488,0,0,,horfoal01
124,P.J. Tucker,37,PHI,PF,75,75,1920,.427,16.5,.378,.173,.151,.036,.018,.622,.482,.487,.441,.500,.750,.393,.732,.982,.000,0,.914,.398,0,0,,tuckepj01
125,Jalen McDaniels,25,2TM,SF,80,24,1913,.455,11.0,.624,.305,.207,.078,.016,.376,.530,.649,.398,.396,.400,.332,.549,.974,.073,36,.384,.337,0,0,,mcdanja01
126,Jakob Poeltl,27,2TM,C,72,71,1906,.629,4.6,.998,.487,.351,.138,.002,.002,.630,.757,.516,.471,.000,.000,.632,,.045,27,.000,,1,0,,poeltja01
127,Anthony Davis,29,LAL,C,56,54,1904,.563,8.2,.923,.348,.323,.134,.117,.077,.589,.788,.514,.442,.372,.257,.625,1.000,.156,138,.149,.364,0,0,,davisan02
128,Donte DiVincenzo,26,GSW,SG,72,36,1894,.435,19.7,.300,.124,.131,.026,.019,.700,.525,.567,.563,.286,.300,.397,.612,.927,.017,9,.228,.419,1,0,,divindo01
129,Bojan Bogdanović,33,DET,PF,59,59,1893,.488,15.2,.600,.144,.214,.169,.073,.400,.539,.685,.487,.537,.406,.411,.537,.828,.012,10,.297,.419,0,0,,bogdabo02
130,Chris Paul,37,PHO,PG,59,59,1889,.440,18.0,.609,.025,.127,.302,.154,.391,.482,.588,.447,.485,.485,.375,.163,.551,.000,0,.073,.421,1,0,,paulch01
131,Tyrese Haliburton,22,IND,PG,56,56,1883,.490,15.8,.522,.209,.163,.092,.048,.478,.572,.733,.453,.403,.550,.400,.243,.435,.020,17,.092,.514,6,1,AS,halibty01
132,Jarred Vanderbilt,23,2TM,PF,78,65,1879,.548,7.3,.800,.483,.282,.031,.004,.200,.604,.720,.449,.214,.500,.322,.679,1.000,.213,90,.878,.354,0,0,,vandeja01
133,Terance Mann,26,LAC,SG,81,36,1872,.519,12.5,.622,.330,.191,.061,.040,.378,.598,.769,.400,.375,.476,.389,.554,.883,.107,47,.495,.337,2,1,,mannte01
134,Troy Brown Jr.,23,LAL,SF,76,45,1860,.430,17.5,.396,.166,.148,.032,.049,.604,.505,.688,.377,.400,.348,.381,.667,.953,.030,10,.395,.405,0,0,,browntr01
135,Onyeka Okongwu,22,ATL,C,80,18,1849,.638,4.6,.974,.606,.233,.050,.074,.026,.647,.764,.448,.560,.405,.308,.706,1.000,.207,95,.769,.400,1,0,,okongon01
