Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
A.J. Green,24,MIL,SG,56,0,614,0.423,0.138,0.026,0.02,0.031,0.061,0.862,0.519,1,0.25,0.333,0.5,0.408,0.857,0.942,0,0,0.225,0.447,greenaj01
Johnny Davis,21,WAS,SG,50,6,613,0.403,0.74,0.292,0.273,0.13,0.045,0.26,0.421,0.644,0.333,0.25,0,0.35,0.604,1,0.045,7,0.45,0.389,davisjo06
MarJon Beauchamp,23,MIL,SF,48,1,608,0.488,0.548,0.277,0.127,0.054,0.09,0.452,0.56,0.63,0.476,0.556,0.467,0.4,0.588,0.967,0.096,12,0.387,0.448,beaucma01
Marcus Smart,29,MEM,PG,20,20,605,0.43,0.435,0.105,0.177,0.118,0.034,0.565,0.583,0.68,0.548,0.571,0.5,0.313,0.25,0.905,0,0,0.209,0.357,smartma01
Mike Muscala,32,TOT,C,53,6,600,0.359,0.385,0.167,0.103,0.058,0.058,0.615,0.467,0.615,0.375,0.333,0.333,0.292,0.643,1,0.032,4,0.24,0.391,muscami01
Jericho Sims,25,NYK,C,45,11,585,0.691,1,0.8,0.182,0.018,0,0,0.691,0.795,0.3,0,0,0,0.632,0,0.582,26,0,0,simsje01
Brice Sensabaugh,20,UTA,SF,32,11,584,0.39,0.472,0.041,0.248,0.138,0.046,0.528,0.495,0.667,0.463,0.567,0.3,0.296,0.51,0.794,0.009,2,0.296,0.353,sensabr01
Jarred Vanderbilt,24,LAL,PF,29,6,581,0.518,0.763,0.474,0.272,0.018,0,0.237,0.586,0.685,0.452,0,0,0.296,0.706,1,0.193,21,0.704,0.316,vandeja01
Shake Milton,27,TOT,SG,48,0,581,0.405,0.672,0.215,0.226,0.205,0.026,0.328,0.466,0.69,0.295,0.4,0.6,0.281,0.639,0.944,0,0,0.391,0.4,miltosh01
Evan Fournier,31,TOT,SG,32,0,580,0.357,0.412,0.072,0.158,0.104,0.077,0.588,0.505,0.563,0.486,0.652,0.294,0.254,0.609,0.848,0,0,0.3,0.231,fournev01
Zeke Nnaji,23,DEN,PF,58,0,576,0.463,0.846,0.597,0.215,0.027,0.007,0.154,0.5,0.584,0.313,0.25,0,0.261,0.619,1,0.181,24,0.391,0.222,nnajize01
Trey Jemison,24,TOT,C,25,14,573,0.551,1,0.588,0.279,0.118,0.015,0,0.551,0.663,0.368,0.5,0,0,0.56,0,0.162,18,0,0,jemistr01
Andre Jackson Jr.,22,MIL,SG,57,8,572,0.5,0.54,0.27,0.15,0.1,0.02,0.46,0.611,0.741,0.267,0.7,1,0.37,0.515,1,0.16,16,0.63,0.345,jacksan01
Jared Butler,23,WAS,SG,40,0,566,0.488,0.612,0.214,0.328,0.05,0.02,0.388,0.602,0.86,0.424,0.7,0.5,0.308,0.365,0.667,0.01,2,0.154,0.5,butleja02
Kevin Knox,24,DET,SF,31,11,560,0.462,0.495,0.188,0.194,0.081,0.032,0.505,0.598,0.686,0.583,0.6,0.167,0.33,0.782,0.968,0.124,20,0.372,0.343,knoxke01
Lamar Stevens,26,TOT,PF,38,3,559,0.45,0.808,0.308,0.242,0.188,0.071,0.192,0.485,0.622,0.414,0.4,0.353,0.304,0.543,1,0.1,21,0.565,0.231,stevela01
Richaun Holmes,30,TOT,C,40,10,555,0.558,0.98,0.578,0.361,0.041,0,0.02,0.563,0.694,0.396,0.167,0,0.333,0.716,1,0.204,28,0.667,0.5,holmeri01
Tristan Thompson,32,CLE,C,49,0,549,0.608,0.992,0.658,0.3,0.033,0,0.008,0.613,0.684,0.472,0.5,0,0,0.548,0,0.2,20,0,0,thomptr01
Julian Strawther,21,DEN,SF,50,0,545,0.369,0.378,0.131,0.144,0.086,0.018,0.622,0.488,0.621,0.469,0.368,0.25,0.297,0.659,0.951,0.009,2,0.116,0.375,strawju01
Omer Yurtseven,25,UTA,C,48,12,545,0.538,0.87,0.332,0.467,0.049,0.022,0.13,0.588,0.738,0.5,0.444,0.5,0.208,0.66,1,0.185,29,0.458,0.273,yurtsom01
Vít Krejčí,23,ATL,PG,22,14,541,0.49,0.346,0.144,0.115,0.067,0.019,0.654,0.639,0.667,0.583,0.714,0.5,0.412,0.696,0.929,0.038,4,0.279,0.368,krejcvi01
Bones Hyland,23,LAC,PG,37,5,540,0.386,0.462,0.135,0.203,0.084,0.04,0.538,0.457,0.647,0.412,0.333,0.3,0.326,0.302,0.5,0.008,2,0.126,0.353,hylanbo01
Jalen McDaniels,26,TOR,SF,50,1,538,0.344,0.624,0.201,0.339,0.063,0.021,0.376,0.449,0.553,0.453,0.25,0,0.169,0.679,0.917,0.042,7,0.296,0.286,mcdanja01
Scotty Pippen Jr.,23,MEM,PG,21,16,527,0.493,0.645,0.32,0.182,0.118,0.025,0.355,0.534,0.646,0.432,0.417,0.4,0.417,0.414,0.833,0.025,4,0.097,0.571,pippesc02
Sasha Vezenkov,28,SAC,PF,42,0,511,0.44,0.372,0.199,0.141,0.021,0.01,0.628,0.549,0.763,0.333,0,0.5,0.375,0.795,0.978,0.005,1,0.308,0.432,vezenal01
Danuel House Jr.,30,PHI,SF,34,4,509,0.448,0.524,0.343,0.124,0.019,0.038,0.476,0.582,0.694,0.308,1,0.25,0.3,0.719,0.933,0.038,4,0.48,0.375,houseda01
Mark Williams,22,CHA,C,19,19,508,0.649,1,0.742,0.245,0.013,0,0,0.649,0.741,0.378,0.5,0,0,0.633,0,0.331,47,0,0,willima07
Jaden Springer,21,TOT,SG,49,2,507,0.399,0.676,0.284,0.243,0.115,0.034,0.324,0.49,0.69,0.306,0.412,0.4,0.208,0.429,0.9,0.054,8,0.438,0.238,sprinja01
Patrick Baldwin Jr.,21,WAS,SF,38,7,493,0.381,0.374,0.219,0.097,0.026,0.032,0.626,0.483,0.676,0.267,0.25,0,0.32,0.714,1,0.058,9,0.165,0.375,baldwpa01
Robert Covington,33,TOT,SF,29,6,488,0.439,0.429,0.245,0.143,0.031,0.01,0.571,0.571,0.625,0.571,0.333,0,0.339,0.75,1,0.031,3,0.268,0.467,covinro01
P.J. Tucker,38,TOT,PF,31,10,486,0.36,0.3,0.14,0.1,0.02,0.04,0.7,0.333,0.571,0,0,0.5,0.371,0.6,1,0,0,0.971,0.382,tuckepj01
Tari Eason,22,HOU,PF,22,0,480,0.466,0.735,0.434,0.185,0.069,0.048,0.265,0.504,0.561,0.371,0.462,0.556,0.36,0.471,1,0.122,20,0.3,0.267,easonta01
Monte Morris,28,TOT,PG,33,0,476,0.405,0.542,0.111,0.098,0.203,0.131,0.458,0.422,0.588,0.2,0.419,0.45,0.386,0.314,0.926,0,0,0.3,0.476,morrimo01
Bol Bol,24,PHX,PF,43,0,469,0.616,0.656,0.185,0.272,0.146,0.053,0.344,0.717,0.929,0.683,0.591,0.5,0.423,0.789,1,0.106,15,0.596,0.419,bolbo01
Isaiah Livers,25,DET,PF,23,6,469,0.345,0.336,0.155,0.086,0.017,0.078,0.664,0.462,0.667,0.3,0,0.333,0.286,0.778,1,0.034,4,0.364,0.286,liveris01
Anthony Gill,31,WAS,PF,50,3,466,0.469,0.744,0.356,0.338,0.044,0.006,0.256,0.546,0.667,0.426,0.429,1,0.244,0.692,1,0.038,5,0.293,0.083,gillan01
Yuta Watanabe,29,TOT,SF,34,0,464,0.353,0.267,0.095,0.103,0.043,0.026,0.733,0.516,0.818,0.333,0.6,0,0.294,0.563,1,0.043,5,0.412,0.286,watanyu01
Nassir Little,23,PHX,SF,45,2,458,0.46,0.435,0.21,0.161,0.032,0.032,0.565,0.667,0.769,0.6,0.25,0.75,0.3,0.722,1,0.097,12,0.357,0.32,littlna01
Sandro Mamukelashvili,24,SAS,C,46,5,451,0.471,0.587,0.323,0.213,0.045,0.006,0.413,0.593,0.66,0.515,0.429,1,0.297,0.611,1,0.077,10,0.297,0.263,mamuksa01
Alex Len,30,SAC,C,48,0,444,0.617,0.963,0.506,0.37,0.062,0.025,0.037,0.641,0.805,0.433,0.4,1,0,0.72,0,0.321,20,0.333,0,lenal01
Thomas Bryant,26,MIA,C,38,4,441,0.577,0.852,0.43,0.315,0.06,0.047,0.148,0.646,0.766,0.596,0.444,0.143,0.182,0.695,1,0.248,34,0.273,0.333,bryanth01
Thaddeus Young,35,TOT,PF,33,6,439,0.602,0.935,0.528,0.333,0.065,0.009,0.065,0.634,0.667,0.611,0.429,1,0.143,0.734,1,0.046,5,0.571,0.25,youngth01
Skylar Mays,26,TOT,PG,38,5,433,0.396,0.66,0.201,0.264,0.151,0.044,0.34,0.448,0.406,0.476,0.375,0.714,0.296,0.277,0.875,0.038,4,0.148,0.25,mayssk01
Chuma Okeke,25,ORL,SF,47,8,432,0.357,0.268,0.107,0.116,0.018,0.027,0.732,0.567,0.917,0.385,0,0.333,0.28,0.765,0.957,0.045,4,0.293,0.375,okekech01
Dominick Barlow,20,SAS,PF,33,1,420,0.496,0.92,0.398,0.257,0.221,0.044,0.08,0.51,0.578,0.483,0.48,0.2,0.333,0.698,1,0.088,9,0.889,0.375,barlodo01
Reggie Bullock,32,HOU,SF,44,0,417,0.415,0.183,0.049,0.037,0.049,0.049,0.817,0.467,1,0.333,0.25,0.25,0.403,1,0.963,0,0,0.433,0.552,bullore01
Patty Mills,35,TOT,PG,32,5,415,0.351,0.336,0.046,0.122,0.069,0.099,0.664,0.5,0.833,0.313,0.556,0.538,0.276,0.545,0.958,0,0,0.276,0.375,millspa02
Trent Forrest,25,ATL,SG,38,0,414,0.378,0.889,0.244,0.467,0.178,0,0.111,0.4,0.591,0.238,0.563,0,0.2,0.281,1,0.011,1,0.4,0,forretr01
Svi Mykhailiuk,26,BOS,SF,41,2,413,0.416,0.212,0.109,0.036,0.051,0.015,0.788,0.517,0.667,0.8,0.143,0,0.389,0.733,0.929,0.036,3,0.278,0.533,mykhasv01
Wesley Matthews,37,ATL,SG,36,3,413,0.351,0.289,0.113,0.082,0.082,0.01,0.711,0.357,0.455,0.375,0.25,0,0.348,0.9,0.958,0,0,0.391,0.444,matthwe02
Aleksej Pokusevski,22,TOT,PF,28,0,405,0.405,0.545,0.231,0.207,0.033,0.074,0.455,0.47,0.786,0.28,0.5,0,0.327,0.774,1,0.05,6,0.291,0.188,pokusal01
Luka Šamanić,24,UTA,PF,43,7,404,0.38,0.595,0.215,0.373,0.006,0,0.405,0.5,0.735,0.356,1,0,0.203,0.681,1,0.063,9,0.359,0.261,samanlu01
Javon Freeman-Liberty,24,TOR,PG,22,6,403,0.444,0.661,0.306,0.234,0.089,0.032,0.339,0.549,0.579,0.448,0.727,0.5,0.238,0.467,1,0.032,3,0.262,0.364,freemja01
Derrick Rose,35,MEM,PG,24,7,399,0.461,0.752,0.279,0.267,0.127,0.079,0.248,0.492,0.652,0.318,0.333,0.769,0.366,0.426,0.867,0,0,0.341,0.5,rosede01
DeAndre Jordan,35,DEN,C,36,2,396,0.624,1,0.828,0.161,0.011,0,0,0.624,0.675,0.4,0,0,0,0.724,0,0.441,37,0,0,jordade01
Kobe Brown,24,LAC,PF,44,0,394,0.411,0.467,0.289,0.111,0.056,0.011,0.533,0.548,0.654,0.4,0.2,1,0.292,0.652,1,0.078,7,0.292,0.214,brownko01
Lester Quiñones,23,GSW,SG,37,0,394,0.397,0.376,0.113,0.163,0.099,0,0.624,0.453,0.625,0.391,0.357,0,0.364,0.458,0.938,0.021,3,0.182,0.5,quinole01
Eugene Omoruyi,26,WAS,SF,43,0,393,0.485,0.725,0.419,0.269,0.018,0.018,0.275,0.562,0.671,0.422,0.333,0.333,0.283,0.618,0.923,0.066,11,0.174,0,omorueu01
Matt Ryan,26,NOP,SF,28,1,390,0.434,0.195,0.027,0.035,0.08,0.053,0.805,0.364,0.667,0.5,0.222,0.333,0.451,1,0.927,0,0,0.319,0.552,ryanma01
Justin Minaya,24,POR,SF,34,1,381,0.297,0.338,0.243,0.081,0.014,0,0.662,0.4,0.556,0,0,0,0.245,0.4,0.917,0.041,2,0.245,0.333,minayju01
Johnny Juzang,22,UTA,SG,20,5,372,0.464,0.3,0.027,0.236,0.018,0.018,0.7,0.576,1,0.538,0.5,0.5,0.416,0.789,1,0.009,1,0.442,0.382,juzanjo01
Noah Clowney,19,BKN,PF,23,4,370,0.538,0.645,0.419,0.215,0.011,0,0.355,0.633,0.795,0.3,1,0,0.364,0.763,1,0.118,11,0.606,0.45,clownno01
Tosan Evbuomwan,22,TOT,SF,17,8,367,0.507,0.549,0.254,0.296,0,0,0.451,0.615,0.722,0.524,0,0,0.375,0.833,1,0.014,1,0.719,0.435,evbuoto01
Ousmane Dieng,20,OKC,PF,33,0,365,0.422,0.397,0.19,0.129,0.043,0.034,0.603,0.609,0.818,0.333,0.4,0.75,0.3,0.857,1,0.112,13,0.314,0.5,diengou01
Jontay Porter,24,TOR,PF,26,5,360,0.385,0.423,0.231,0.096,0.077,0.019,0.577,0.455,0.542,0.6,0,0.5,0.333,0.65,1,0.038,2,0.083,0.6,portejo01
Ben Simmons,27,BKN,PG,15,12,359,0.581,1,0.649,0.297,0.054,0,0,0.581,0.75,0.273,0.25,0,0,0.581,0,0.149,11,0,0,simmobe01
Brandon Boston Jr.,22,LAC,SF,32,0,345,0.404,0.677,0.205,0.168,0.211,0.093,0.323,0.468,0.636,0.296,0.5,0.333,0.269,0.588,0.786,0.068,11,0.25,0.385,bostobr01
Jarace Walker,20,IND,PF,33,0,340,0.409,0.5,0.164,0.136,0.082,0.118,0.5,0.418,0.5,0.267,0.556,0.385,0.4,0.565,0.818,0.036,4,0.182,0.3,walkeja02
JaVale McGee,36,SAC,C,46,0,339,0.598,0.947,0.492,0.417,0.03,0.008,0.053,0.624,0.769,0.509,0,0,0.143,0.769,1,0.303,35,0,0,mcgeeja01
Olivier-Maxence Prosper,21,DAL,PF,40,1,336,0.385,0.567,0.356,0.135,0.038,0.038,0.433,0.458,0.595,0.214,0,0.5,0.289,0.704,1,0.125,13,0.533,0.25,prospol01
Jeremiah Robinson-Earl,23,NOP,PF,39,1,334,0.474,0.589,0.284,0.211,0.063,0.032,0.411,0.571,0.63,0.5,0.833,0,0.333,0.75,1,0.084,7,0.513,0.4,robinje02
Neemias Queta,24,BOS,C,28,0,333,0.644,1,0.567,0.375,0.048,0.01,0,0.644,0.78,0.462,0.4,1,0,0.701,0,0.288,28,0,0,quetane01
Julian Phillips,20,CHI,SF,40,0,323,0.416,0.506,0.39,0.078,0.013,0.026,0.494,0.513,0.467,0.667,1,0.5,0.316,0.75,1,0.091,4,0.579,0.455,phillju01
Cody Zeller,31,NOP,C,43,0,320,0.419,0.952,0.661,0.258,0.016,0.016,0.048,0.424,0.512,0.25,0,0,0.333,0.56,1,0.145,9,0,0,zelleco01
Ja Morant,24,MEM,PG,9,9,318,0.471,0.7,0.288,0.288,0.088,0.035,0.3,0.555,0.714,0.49,0.267,0.5,0.275,0.288,0.5,0.047,6,0.098,0.2,moranja01
Ashton Hagans,24,POR,PG,19,1,316,0.408,0.648,0.254,0.338,0.056,0,0.352,0.457,0.778,0.25,0.25,0,0.32,0.429,1,0,0,0.12,0.667,haganas01
Devonte' Graham,28,SAS,PG,23,0,313,0.352,0.231,0.083,0.037,0.074,0.037,0.769,0.52,0.667,0.5,0.375,0.5,0.301,0.385,0.72,0,0,0.145,0.25,grahade01
A.J. Lawson,23,DAL,SG,42,0,311,0.446,0.587,0.364,0.198,0.008,0.017,0.413,0.577,0.773,0.208,0,1,0.26,0.61,1,0.107,12,0.64,0.25,lawsoaj01
Nathan Mensah,25,CHA,C,25,0,307,0.429,1,0.393,0.607,0,0,0,0.429,0.545,0.353,0,0,0,0.667,0,0.107,3,0,0,mensana01
Stanley Umude,24,DET,SG,24,2,307,0.44,0.369,0.083,0.202,0.06,0.024,0.631,0.419,0.714,0.412,0.2,0,0.453,0.846,1,0.024,2,0.547,0.483,umudest01
Orlando Robinson,23,MIA,C,36,7,304,0.5,0.792,0.361,0.347,0.056,0.028,0.208,0.491,0.692,0.4,0,0,0.533,0.607,1,0.097,5,0.2,1,robinor01
Furkan Korkmaz,26,PHI,SG,35,0,300,0.395,0.474,0.184,0.171,0.053,0.066,0.526,0.444,0.643,0.462,0,0.2,0.35,0.75,0.714,0.026,2,0.1,0.5,korkmfu01
Cory Joseph,32,GSW,PG,26,0,296,0.359,0.344,0.031,0.156,0.078,0.078,0.656,0.455,0,0.7,0.4,0.2,0.31,0.6,0.923,0,0,0.238,0.4,josepco01
Ricky Council IV,22,PHI,SG,32,0,289,0.482,0.714,0.321,0.33,0.036,0.027,0.286,0.525,0.639,0.405,0.5,0.667,0.375,0.667,1,0.08,8,0.313,0.4,councri01
Garrett Temple,37,TOR,SG,27,2,289,0.372,0.487,0.308,0.128,0.013,0.038,0.513,0.447,0.625,0.2,0,0,0.3,0.471,1,0.026,2,0.525,0.381,templga01
Leaky Black,24,CHA,SF,26,3,284,0.481,0.615,0.308,0.212,0.038,0.058,0.385,0.5,0.75,0.182,0.5,0.333,0.45,0.688,1,0.077,4,0.45,0.556,blackle01
Lindy Waters III,26,OKC,SG,38,0,280,0.471,0.183,0.067,0.038,0.01,0.067,0.817,0.632,0.714,0.75,1,0.429,0.435,0.667,0.919,0.01,1,0.271,0.522,waterli01
Kessler Edwards,23,SAC,SF,54,0,275,0.415,0.366,0.171,0.122,0.012,0.061,0.634,0.467,0.643,0.3,0,0.4,0.385,0.643,1,0.037,2,0.423,0.409,edwarke02
Damian Jones,28,CLE,C,39,0,270,0.597,0.806,0.542,0.139,0.069,0.056,0.194,0.69,0.795,0.4,0.8,0.25,0.214,0.775,1,0.25,17,0.429,0.333,jonesda03
Onuralp Bitim,24,CHI,SG,23,1,268,0.381,0.476,0.202,0.143,0.083,0.048,0.524,0.5,0.706,0.25,0.571,0.25,0.273,0.75,1,0.06,3,0.341,0.267,bitimon01
Kira Lewis Jr.,22,TOT,PG,28,0,265,0.37,0.641,0.25,0.261,0.076,0.054,0.359,0.508,0.609,0.542,0.429,0,0.121,0.433,0.75,0.011,1,0.212,0,lewiski01
Jamal Cain,24,MIA,PF,26,1,259,0.43,0.608,0.215,0.253,0.101,0.038,0.392,0.479,0.647,0.35,0.375,0.667,0.355,0.652,0.727,0.076,5,0.581,0.278,cainja01
Jared Rhoden,24,DET,SG,17,0,245,0.5,0.53,0.076,0.121,0.212,0.121,0.47,0.6,0.8,0.75,0.571,0.375,0.387,0.762,1,0.076,4,0.452,0.429,rhodeja01
Justin Champagnie,22,WAS,SF,15,1,235,0.41,0.423,0.295,0.115,0,0.013,0.577,0.576,0.739,0.222,0,0,0.289,0.737,1,0.038,3,0.444,0.25,champju01
Javonte Green,30,CHI,SF,9,5,230,0.6,0.64,0.493,0.133,0.013,0,0.36,0.729,0.73,0.7,1,0,0.37,0.686,1,0.173,11,0.63,0.353,greenja02
Ibou Badji,21,POR,C,22,1,226,0.636,1,0.591,0.227,0.136,0.045,0,0.636,0.769,0.2,0.667,1,0,0.5,0,0.409,7,0,0,badjiib01
Collin Gillespie,24,DEN,PG,24,0,225,0.464,0.449,0.188,0.13,0.029,0.101,0.551,0.548,0.538,0.556,1,0.429,0.395,0.353,0.933,0.014,1,0.105,0.5,gilleco01
Gabe Vincent,27,LAL,PG,11,0,218,0.306,0.429,0.122,0.122,0.041,0.143,0.571,0.571,0.667,0.667,0.5,0.429,0.107,0.5,0.667,0,0,0.179,0,vincega01
Markieff Morris,34,DAL,PF,26,1,216,0.338,0.382,0.044,0.103,0.118,0.118,0.618,0.308,0.333,0.429,0.25,0.25,0.357,0.5,0.867,0,0,0.238,0.5,morrima02
Jaylen Nowell,24,TOT,SG,13,1,214,0.436,0.628,0.103,0.269,0.128,0.128,0.372,0.571,0.625,0.429,0.7,0.7,0.207,0.536,1,0.013,1,0.172,0.2,nowelja01
Théo Maledon,22,TOT,PG,17,1,213,0.286,0.571,0.214,0.229,0.086,0.043,0.429,0.375,0.533,0.313,0.333,0,0.167,0.6,1,0,0,0.233,0.286,maledth01
Charles Bassey,23,SAS,C,19,0,205,0.725,0.975,0.65,0.1,0.2,0.025,0.025,0.744,0.846,0.75,0.5,0,0,0.793,0,0.25,10,0,0,bassech01
Taj Gibson,38,TOT,PF,20,1,204,0.405,0.73,0.351,0.216,0.081,0.081,0.27,0.481,0.462,0.25,1,0.667,0.2,0.615,1,0.054,1,0.8,0.125,gibsota01
Moses Brown,24,POR,C,22,5,200,0.508,1,0.492,0.462,0.031,0.015,0,0.508,0.656,0.4,0,0,0,0.697,0,0.262,15,0,0,brownmo01
Kenneth Lofton Jr.,21,TOT,PF,21,0,199,0.462,0.692,0.192,0.256,0.128,0.115,0.308,0.537,0.8,0.5,0.3,0.444,0.292,0.517,1,0.051,4,0.167,0.25,loftoke01
Kobe Bufkin,20,ATL,SG,17,0,196,0.37,0.565,0.098,0.141,0.163,0.163,0.435,0.481,0.556,0.462,0.467,0.467,0.225,0.32,0.667,0,0,0.25,0.1,bufkiko01
Colby Jones,21,SAC,SG,30,0,192,0.394,0.69,0.183,0.338,0.155,0.014,0.31,0.531,0.462,0.583,0.455,1,0.091,0.538,1,0.014,1,0.364,0.125,jonesco02
Gui Santos,21,GSW,PF,23,0,192,0.509,0.509,0.345,0.164,0,0,0.491,0.643,0.737,0.444,0,0,0.37,0.667,0.9,0.036,2,0.296,0.5,santogu01
Terry Taylor,24,CHI,PF,31,0,188,0.513,0.769,0.564,0.179,0.026,0,0.231,0.6,0.636,0.571,0,0,0.222,0.667,1,0.051,1,0.778,0.286,taylote01
Micah Potter,25,UTA,PF,16,0,186,0.475,0.475,0.2,0.275,0,0,0.525,0.526,0.625,0.455,0,0,0.429,0.6,1,0.075,3,0.667,0.571,pottemi01
Saben Lee,24,PHX,PG,24,0,185,0.364,0.709,0.382,0.309,0,0.018,0.291,0.462,0.571,0.353,0,0,0.125,0.5,1,0.109,4,0.625,0.1,leesa01
Otto Porter Jr.,30,TOR,SF,15,1,174,0.424,0.303,0.182,0.03,0.091,0,0.697,0.6,0.5,1,0.667,0,0.348,1,0.875,0.03,0,0.391,0.444,porteot01
AJ Griffin,20,ATL,SF,20,0,171,0.29,0.371,0.048,0.194,0.065,0.065,0.629,0.348,0.667,0.25,0.5,0.25,0.256,0.75,0.8,0.016,1,0.205,0.25,griffaj01
Joe Harris,32,DET,SG,16,0,170,0.359,0.231,0.103,0.128,0,0,0.769,0.444,0.5,0.4,0,0,0.333,1,1,0,0,0.467,0.5,harrijo01
Trevelin Queen,26,ORL,SG,14,0,165,0.368,0.553,0.237,0.211,0.053,0.053,0.447,0.524,0.778,0.375,0,0.5,0.176,0.727,0.667,0.132,5,0.353,0.167,queentr01
Zavier Simpson,26,MEM,PG,7,0,161,0.315,0.685,0.167,0.333,0.093,0.093,0.315,0.324,0.667,0.222,0,0.4,0.294,0.25,0.8,0.019,0,0.118,0,simpsza01
Thanasis Antetokounmpo,31,MIL,PF,34,0,155,0.533,0.967,0.767,0.167,0,0.033,0.033,0.552,0.609,0.4,0,0,0,0.75,0,0.333,7,1,0,antetth01
Tristan Vukcevic,20,WAS,C,10,4,153,0.433,0.463,0.209,0.164,0.06,0.03,0.537,0.613,0.929,0.364,0.5,0,0.278,0.842,0.9,0.06,3,0.083,0,vukcetr01
Darius Bazley,23,TOT,PF,9,0,152,0.6,0.733,0.333,0.333,0.067,0,0.267,0.727,0.9,0.6,0.5,0,0.25,0.5,1,0.233,6,0.625,0.4,bazleda01
DeJon Jarreau,26,MEM,SG,9,0,150,0.34,0.74,0.26,0.28,0.1,0.1,0.26,0.351,0.538,0.286,0.4,0,0.308,0.077,1,0.04,2,0.154,0,jarrede01
Jules Bernard,24,WAS,SG,19,0,149,0.453,0.547,0.328,0.172,0.031,0.016,0.453,0.514,0.571,0.455,0.5,0,0.379,0.278,0.909,0.016,1,0.172,0.6,bernaju01
Jeff Dowtin Jr.,26,PHI,PG,12,0,142,0.556,0.472,0.306,0.083,0.083,0,0.528,0.647,0.818,0,0.667,0,0.474,0.455,0.556,0.028,1,0.105,0.5,dowtije01
Sidy Cissoko,19,SAS,SF,12,0,141,0.485,0.636,0.424,0.212,0,0,0.364,0.714,0.857,0.429,0,0,0.083,0.8,1,0.333,10,0.5,0.167,cissosi01
Brandon Clarke,27,MEM,PF,6,1,134,0.559,0.898,0.254,0.373,0.186,0.085,0.102,0.604,0.6,0.682,0.545,0.4,0.167,0.781,1,0.034,2,0.667,0.25,clarkbr01
Emoni Bates,20,CLE,SF,15,0,133,0.306,0.327,0.143,0.041,0.041,0.102,0.673,0.313,0.286,0,0.5,0.4,0.303,0.2,1,0.02,0,0.182,0.5,batesem01
Dru Smith,26,MIA,SG,9,0,131,0.455,0.485,0.273,0.121,0.061,0.03,0.515,0.5,0.667,0.5,0,0,0.412,0.5,0.857,0,0,0.235,0.75,smithdr01
Nate Williams,24,HOU,SG,22,0,129,0.54,0.9,0.46,0.38,0.04,0.02,0.1,0.556,0.826,0.316,0,0,0.4,0.4,1,0.1,5,0.8,0.25,willije02
T.J. Warren,30,MIN,SF,11,0,125,0.439,0.683,0.171,0.171,0.244,0.098,0.317,0.571,1,0.429,0.3,0.75,0.154,0.813,1,0,0,0.308,0.25,warretj01
Timmy Allen,24,MEM,SF,5,0,125,0.261,0.696,0.13,0.174,0.261,0.13,0.304,0.375,0.333,0.5,0.333,0.333,0,0.333,0,0,0,0.714,0,allenti01
Jalen Pickett,24,DEN,SG,27,0,122,0.429,0.286,0.029,0.057,0.086,0.114,0.714,0.6,1,0.5,0.333,0.75,0.36,0.5,0.778,0,0,0.04,0,pickeja02
Luka Garza,25,MIN,C,25,0,122,0.48,0.573,0.187,0.347,0.04,0,0.427,0.628,0.714,0.538,1,0,0.281,0.556,1,0.027,2,0.031,0,garzalu01
Mãozinha Pereira,23,MEM,SF,7,1,122,0.514,0.629,0.4,0.229,0,0,0.371,0.591,0.714,0.375,0,0,0.385,0.692,1,0.314,9,0.462,0.5,pereima01
Jahmi'us Ramsey,22,TOR,SG,7,1,121,0.439,0.463,0.293,0.073,0.073,0.024,0.537,0.632,0.75,0,0.667,1,0.273,0.583,1,0.098,4,0.273,0.333,ramseja01
Marques Bolden,25,TOT,C,11,2,121,0.68,0.96,0.44,0.32,0.2,0,0.04,0.708,0.818,0.875,0.2,0,0,0.824,0,0.2,5,0,0,boldema01
Mouhamadou Gueye,25,TOR,PF,11,0,120,0.289,0.921,0.395,0.474,0.026,0.026,0.079,0.314,0.467,0.222,0,0,0,0.727,0,0.211,6,0,0,gueyemo01
Xavier Moon,29,LAC,SG,14,1,119,0.326,0.63,0.065,0.217,0.217,0.13,0.37,0.448,0,0.4,0.6,0.5,0.118,0.308,0.5,0,0,0.059,0,moonxa01
Robert Williams,26,POR,C,6,0,119,0.654,1,0.5,0.269,0.038,0.192,0,0.654,0.769,0.429,1,0.6,0,0.529,0,0.269,5,0,0,williro04
Brandon Williams,24,DAL,PG,17,0,113,0.37,0.722,0.259,0.259,0.093,0.111,0.278,0.436,0.571,0.286,0.4,0.5,0.2,0.353,0.667,0.037,1,0.133,0,willibr03
Udoka Azubuike,24,PHX,C,16,0,113,0.696,1,0.696,0.261,0.043,0,0,0.696,0.813,0.5,0,0,0,0.563,0,0.522,10,0,0,azubuud01
Matthew Hurt,23,MEM,PF,8,0,113,0.353,0.412,0.088,0.118,0.029,0.176,0.588,0.5,0.667,0.5,0,0.5,0.25,0.571,1,0,0,0.25,0.4,hurtma01
