Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Dalen Terry,21,CHI,SG,59,2,681,2.6,4.8,19,4,41,3,17,3,188,3,5,terryda01
Gary Payton II,31,GSW,SG,44,0,680,7.5,5.7,12,6,39,6,11,2,119,3,12,paytoga02
Mason Plumlee,33,LAC,C,46,11,674,0,-4.3,18,13,38,4,50,6,127,9,14,plumlma01
Dāvis Bertāns,31,TOT,PF,43,1,674,-7.6,0.7,9,3,24,5,11,5,83,2,8,bertada01
Keita Bates-Diop,28,TOT,SF,53,8,665,-4.3,-7.9,4,7,23,1,21,0,92,8,16,bateske01
Jalen Wilson,23,BKN,PF,43,3,664,0.2,3.8,3,8,29,4,17,2,108,5,11,wilsoja03
Craig Porter Jr.,23,CLE,PG,51,6,649,-1.9,-5.4,31,8,30,1,28,1,291,8,16,portecr01
Rayan Rupert,19,POR,SG,39,12,633,-10.4,-1.2,14,11,38,3,11,3,154,1,21,ruperra01
Oshae Brissett,25,BOS,SF,55,1,630,10.4,-1,8,7,29,2,40,0,116,6,9,brissos01
Danilo Gallinari,35,TOT,SF,49,0,630,-9.3,-3.3,7,14,30,1,36,2,134,7,8,gallida01
Jordan McLaughlin,27,MIN,PG,56,0,626,12.6,7.2,13,4,16,2,4,11,267,0,5,mclaujo01
Seth Curry,33,TOT,SG,44,4,616,3.3,5,10,4,16,3,12,7,107,6,9,curryse01
A.J. Green,24,MIL,SG,56,0,614,4.8,2.3,7,3,24,0,4,8,72,2,3,greenaj01
Johnny Davis,21,WAS,SG,50,6,613,-10.8,-1.8,3,8,29,2,7,5,77,1,13,davisjo06
MarJon Beauchamp,23,MIL,SF,48,1,608,-0.9,-4.3,11,10,28,1,14,1,72,1,17,beaucma01
Marcus Smart,29,MEM,PG,20,20,605,-1.2,7.2,34,12,16,8,16,12,210,5,5,smartma01
Mike Muscala,32,TOT,C,53,6,600,-7.3,-1,11,6,32,3,9,4,93,2,10,muscami01
Jericho Sims,25,NYK,C,45,11,585,-0.8,-6.5,6,3,23,7,13,2,60,6,2,simsje01
Brice Sensabaugh,20,UTA,SF,32,11,584,-13.8,-10.5,19,18,26,5,18,4,129,3,13,sensabr01
Jarred Vanderbilt,24,LAL,PF,29,6,581,4.6,4.9,11,7,22,5,20,11,86,6,13,vandeja01
Shake Milton,27,TOT,SG,48,0,581,-4.2,-10.2,20,7,36,2,23,7,139,6,17,miltosh01
Evan Fournier,31,TOT,SG,32,0,580,-12.3,-4.9,11,8,29,0,13,2,109,2,6,fournev01
Zeke Nnaji,23,DEN,PF,58,0,576,-12.7,-21.4,6,7,47,13,26,0,78,6,23,nnajize01
Trey Jemison,24,TOT,C,25,14,573,-9.2,-2.2,11,11,42,9,14,2,64,3,16,jemistr01
Andre Jackson Jr.,22,MIL,SG,57,8,572,-6.5,-10.8,17,5,36,4,5,3,126,0,3,jacksan01
Jared Butler,23,WAS,SG,40,0,566,-5.3,4.6,35,11,36,2,16,9,295,5,13,butleja02
Kevin Knox,24,DET,SF,31,11,560,-7.2,1.9,11,4,31,1,13,2,54,5,12,knoxke01
Lamar Stevens,26,TOT,PF,38,3,559,1,4.9,11,10,24,2,26,2,66,8,21,stevela01
Richaun Holmes,30,TOT,C,40,10,555,-7.8,-3.6,5,6,36,10,19,4,61,5,18,holmeri01
Tristan Thompson,32,CLE,C,49,0,549,0.4,-2.6,6,8,23,9,16,0,129,3,12,thomptr01
Julian Strawther,21,DEN,SF,50,0,545,-8.4,-16.3,4,8,26,8,9,2,111,2,9,strawju01
Omer Yurtseven,25,UTA,C,48,12,545,-13.8,-10.4,12,11,27,12,14,0,69,6,12,yurtsom01
Vít Krejčí,23,ATL,PG,22,14,541,-1.7,0.6,12,6,27,1,3,3,127,1,7,krejcvi01
Bones Hyland,23,LAC,PG,37,5,540,-7.1,-12.4,21,13,14,5,9,0,214,1,20,hylanbo01
Jalen McDaniels,26,TOR,SF,50,1,538,-14.4,-9.2,14,11,25,3,19,2,90,5,18,mcdanja01
Scotty Pippen Jr.,23,MEM,PG,21,16,527,-7.5,-0.3,33,14,25,3,25,13,246,4,12,pippesc02
Sasha Vezenkov,28,SAC,PF,42,0,511,0.7,-0.7,4,4,16,2,7,2,49,1,9,vezenal01
Danuel House Jr.,30,PHI,SF,34,4,509,1.8,-1.4,11,3,30,1,26,3,65,8,7,houseda01
Mark Williams,22,CHA,C,19,19,508,-0.8,11.3,5,2,26,7,30,0,57,4,18,willima07
Jaden Springer,21,TOT,SG,49,2,507,-0.4,-6.2,11,10,34,7,19,10,104,2,16,sprinja01
Patrick Baldwin Jr.,21,WAS,SF,38,7,493,-2.9,7.2,6,7,37,4,15,2,74,8,4,baldwpa01
Robert Covington,33,TOT,SF,29,6,488,11.7,9.3,2,4,22,3,12,2,57,2,7,covinro01
P.J. Tucker,38,TOT,PF,31,10,486,-0.2,-4.5,5,0,29,1,2,5,42,1,2,tuckepj01
Tari Eason,22,HOU,PF,22,0,480,10.7,10.9,9,3,31,2,16,2,65,5,17,easonta01
Monte Morris,28,TOT,PG,33,0,476,8.8,4.8,6,1,7,0,7,4,174,2,6,morrimo01
Bol Bol,24,PHX,PF,43,0,469,2.7,-0.7,7,8,29,0,9,0,41,5,3,bolbo01
Isaiah Livers,25,DET,PF,23,6,469,-18.5,-11,6,4,34,1,7,0,60,1,8,liveris01
Anthony Gill,31,WAS,PF,50,3,466,-0.1,10.4,14,5,25,3,13,2,86,2,16,gillan01
Yuta Watanabe,29,TOT,SF,34,0,464,-8.5,-10.7,12,5,32,0,7,2,36,1,6,watanyu01
Nassir Little,23,PHX,SF,45,2,458,-6.8,-11.3,9,3,26,1,7,2,54,3,6,littlna01
Sandro Mamukelashvili,24,SAS,C,46,5,451,4.9,12.7,9,6,17,2,17,1,116,2,11,mamuksa01
Alex Len,30,SAC,C,48,0,444,14.4,14.7,5,6,37,14,16,1,126,4,10,lenal01
Thomas Bryant,26,MIA,C,38,4,441,2.2,0.2,2,2,26,10,24,0,59,5,10,bryanth01
Thaddeus Young,35,TOT,PF,33,6,439,-4.8,-0.2,7,6,30,1,6,4,126,3,10,youngth01
Skylar Mays,26,TOT,PG,38,5,433,-13.7,-6.5,13,4,14,0,7,3,204,2,10,mayssk01
Chuma Okeke,25,ORL,SF,47,8,432,-8.8,-11.9,8,3,8,1,3,0,52,1,2,okekech01
Dominick Barlow,20,SAS,PF,33,1,420,-4.7,1.8,5,0,30,3,18,2,85,2,8,barlodo01
Reggie Bullock,32,HOU,SF,44,0,417,-5.9,-7.9,9,0,12,1,1,0,33,1,2,bullore01
Patty Mills,35,TOT,PG,32,5,415,1.1,1.2,11,3,14,2,3,7,86,1,4,millspa02
Trent Forrest,25,ATL,SG,38,0,414,-10.7,-9.4,11,6,17,1,6,2,223,1,5,forretr01
Svi Mykhailiuk,26,BOS,SF,41,2,413,16.9,6.3,11,0,15,1,4,4,81,1,4,mykhasv01
Wesley Matthews,37,ATL,SG,36,3,413,-6.4,-4.6,3,3,23,2,8,6,56,1,6,matthwe02
Aleksej Pokusevski,22,TOT,PF,28,0,405,-8.7,-0.4,12,3,10,1,21,2,87,3,4,pokusal01
Luka Šamanić,24,UTA,PF,43,7,404,-6.1,-1.3,8,11,21,5,28,1,44,10,17,samanlu01
Javon Freeman-Liberty,24,TOR,PG,22,6,403,-18.3,-13.2,13,6,12,4,15,2,96,1,15,freemja01
Derrick Rose,35,MEM,PG,24,7,399,-3.9,3.8,24,4,11,1,15,8,187,3,15,rosede01
DeAndre Jordan,35,DEN,C,36,2,396,-9.1,-16.2,7,3,32,11,24,1,58,7,11,jordade01
Kobe Brown,24,LAC,PF,44,0,394,-9.2,-14.3,3,3,29,2,1,1,61,0,6,brownko01
Lester Quiñones,23,GSW,SG,37,0,394,1.7,-1.1,9,1,21,3,13,9,82,1,8,quinole01
Eugene Omoruyi,26,WAS,SF,43,0,393,-15.6,-7.1,10,4,29,5,27,9,76,7,17,omorueu01
