Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Jake LaRavia,22,MEM,PF,35,6,806,118,303,53,156,65,147,0.477,90,109,51,77,128,58,29,12,45,69,379,laravja01
Davion Mitchell,25,SAC,PG,72,4,1101,146,323,57,158,89,165,0.54,30,42,19,76,95,134,17,3,43,85,379,mitchda01
Kris Murray,23,POR,SF,62,29,1348,145,366,49,183,96,183,0.463,37,56,85,139,224,80,53,21,55,92,376,murrakr01
Daniel Theis,31,TOT,C,60,3,1015,156,293,26,71,130,222,0.577,38,50,85,159,244,61,21,51,42,127,376,theisda01
Gary Harris,29,ORL,SG,54,27,1297,131,297,76,205,55,92,0.569,34,45,24,67,91,87,49,14,31,91,372,harriga01
Dennis Smith Jr.,26,BKN,PG,56,2,1059,147,338,32,109,115,229,0.482,43,58,50,114,164,203,68,12,68,121,369,smithde03
Jordan Goodwin,25,TOT,PG,57,12,1055,141,382,42,141,99,241,0.424,44,59,88,165,253,155,48,18,56,76,368,goodwjo01
Jordan Nwora,25,TOT,SF,52,1,712,138,299,44,131,94,168,0.535,44,53,28,121,149,62,26,13,53,48,364,nworajo01
Quentin Grimes,23,TOT,SG,51,18,1025,122,328,81,240,41,88,0.495,34,45,15,85,100,66,35,7,28,75,359,grimequ01
Jevon Carter,28,CHI,PG,72,0,1004,138,365,77,234,61,131,0.484,4,7,11,49,60,94,37,16,36,71,357,carteje01
Kris Dunn,29,UTA,PG,66,32,1249,147,313,41,111,106,202,0.535,22,32,50,139,189,254,68,28,79,135,357,dunnkr01
Dyson Daniels,20,NOP,PG,61,16,1358,139,311,42,135,97,176,0.514,34,53,62,174,236,164,85,25,59,101,354,daniedy01
Matisse Thybulle,26,POR,SF,65,19,1487,126,317,80,231,46,86,0.524,22,29,30,106,136,90,113,49,40,93,354,thybuma01
Nikola Jović,20,MIA,PF,46,38,896,127,281,65,163,62,118,0.568,33,47,25,167,192,90,25,14,42,82,352,jovicni01
Doug McDermott,32,TOT,SF,64,0,904,123,284,94,229,29,55,0.599,11,19,10,49,59,70,16,2,28,64,351,mcderdo01
Larry Nance Jr.,31,NOP,C,61,0,1216,138,241,27,65,111,176,0.629,47,61,94,213,307,113,61,19,49,98,350,nancela02
Christian Wood,28,LAL,PF,50,1,872,123,264,35,114,88,150,0.532,66,94,39,215,254,49,16,33,50,72,347,woodch01
Markelle Fultz,25,ORL,PG,43,18,910,154,326,4,18,150,308,0.479,23,33,56,82,138,120,42,15,50,65,335,fultzma01
Luke Kornet,28,BOS,C,63,7,983,142,203,1,1,141,202,0.702,49,54,118,143,261,67,23,61,21,77,334,kornelu01
Kevon Looney,27,GSW,C,74,36,1195,139,233,0,1,139,232,0.597,56,83,143,276,419,133,28,29,50,155,334,looneke01
Chimezie Metu,26,TOT,C,51,12,859,123,244,28,94,95,150,0.561,58,64,41,153,194,46,43,16,52,71,332,metuch01
Landry Shamet,26,WAS,SG,46,5,726,118,274,53,157,65,117,0.527,38,46,16,46,62,54,25,10,30,76,327,shamela01
