Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
Bryn Forbes,26,SAS,SG,63,62,1579,242,581,148,381,94,200,0.544,75,90,12,114,126,108,33,0,57,113,707,forbebr01
Joe Ingles,32,UTA,PF,72,45,2137,246,553,141,353,105,200,0.572,74,94,27,251,278,373,65,11,142,154,707,inglejo01
Furkan Korkmaz,22,PHI,SG,72,12,1559,242,563,143,356,99,207,0.557,77,102,18,150,168,79,41,16,59,98,704,korkmfu01
Dario Šarić,25,PHX,PF,66,51,1632,256,538,84,235,172,303,0.554,108,128,100,306,406,123,37,16,88,156,704,saricda01
Brandon Clarke,23,MEM,PF,58,4,1300,296,479,23,64,273,415,0.642,85,112,92,253,345,81,32,48,55,100,700,clarkbr01
Deandre Ayton,21,PHX,C,38,32,1236,310,568,3,13,307,555,0.548,67,89,147,289,436,72,26,58,80,117,690,aytonde01
Steven Adams,26,OKC,C,63,63,1680,283,478,1,3,282,475,0.593,117,201,207,376,583,146,51,67,94,122,684,adamsst01
Kevin Huerter,21,ATL,SG,56,48,1760,252,610,127,334,125,276,0.517,53,64,35,193,228,213,51,27,87,139,684,huertke01
Tristan Thompson,28,CLE,C,57,51,1721,288,562,9,23,279,539,0.52,99,161,226,351,577,120,33,50,103,124,684,thomptr01
Jae Crowder,29,TOT,SF,65,53,1875,226,563,135,394,91,169,0.521,97,125,52,332,384,161,72,24,69,143,684,crowdja01
Dorian Finney-Smith,26,DAL,PF,71,68,2120,243,522,114,303,129,219,0.575,78,108,145,260,405,114,45,39,69,178,678,finnedo01
Langston Galloway,28,DET,SG,66,6,1702,236,542,132,331,104,211,0.557,73,85,33,116,149,101,48,11,40,96,677,gallola01
Mike Conley,32,UTA,PG,47,41,1363,232,567,96,256,136,311,0.494,115,139,33,118,151,208,36,5,92,104,675,conlemi01
Maxi Kleber,28,DAL,PF,74,21,1890,237,514,119,319,118,195,0.577,79,93,112,276,388,88,25,83,58,176,672,klebima01
Bobby Portis,24,NYK,PF,66,5,1393,265,589,67,187,198,402,0.507,71,93,80,258,338,98,32,18,73,110,668,portibo01
Mikal Bridges,23,PHX,SF,73,32,2042,247,484,70,194,177,290,0.583,103,122,66,226,292,129,102,46,73,163,667,bridgmi01
Danuel House Jr.,26,HOU,SF,63,52,1913,230,539,129,355,101,184,0.546,73,90,57,210,267,85,67,34,54,132,662,houseda01
Monte Morris,24,DEN,PG,73,12,1636,260,566,65,172,195,394,0.517,75,89,24,113,137,255,55,17,53,73,660,morrimo01
Thaddeus Young,31,CHI,PF,64,16,1591,269,601,79,222,190,379,0.513,42,72,94,221,315,117,92,23,102,134,659,youngth01
Josh Hart,24,NOP,SF,65,16,1755,225,532,121,354,104,178,0.537,85,115,61,364,425,108,63,23,75,160,656,hartjo01
Rui Hachimura,21,WAS,PF,48,48,1444,254,545,25,87,229,458,0.489,116,140,78,216,294,87,37,8,53,105,649,hachiru01
Kentavious Caldwell-Pope,26,LAL,SG,69,26,1762,237,507,92,239,145,268,0.558,79,102,38,104,142,111,57,14,62,128,645,caldwke01
Tomáš Satoranský,28,CHI,SG,65,64,1878,237,551,64,199,173,352,0.488,106,121,76,178,254,354,80,7,130,135,644,satorto01
Cody Zeller,27,CHA,C,58,39,1341,251,479,18,75,233,404,0.543,122,179,160,251,411,88,40,25,75,140,642,zelleco01
Garrett Temple,33,BKN,SG,62,35,1730,222,587,127,386,95,201,0.486,70,87,29,189,218,156,49,29,62,108,641,templga01
Jeff Teague,31,TOT,PG,59,17,1464,213,489,43,117,170,372,0.48,172,197,27,115,142,308,44,19,116,106,641,teaguje01
Aaron Holiday,23,IND,PG,66,33,1617,233,563,87,221,146,342,0.491,74,87,22,134,156,225,55,16,88,120,627,holidaa01
Damion Lee,27,GSW,SG,49,36,1423,213,511,85,239,128,272,0.5,110,126,32,207,239,133,50,6,67,116,621,leeda03
Malik Beasley,23,TOT,SG,55,14,1209,227,534,107,276,120,258,0.525,54,66,18,130,148,75,40,8,57,77,615,beaslma01
Donte DiVincenzo,23,MIL,SG,66,24,1520,232,510,83,247,149,263,0.536,63,86,66,252,318,154,85,20,90,113,610,divindo01
Cam Reddish,20,ATL,SF,58,34,1551,213,554,83,250,130,304,0.459,101,126,35,181,216,87,62,28,96,132,610,reddica01
Thomas Bryant,22,WAS,C,46,36,1147,243,418,37,91,206,327,0.626,86,116,98,233,331,83,25,49,53,103,609,bryanth01
Justin Holiday,30,IND,SF,73,6,1826,208,486,134,331,74,155,0.566,53,67,32,206,238,93,87,46,44,137,603,holidju01
Daniel Theis,27,BOS,C,65,64,1566,241,426,32,96,209,330,0.603,87,114,140,286,426,111,37,84,54,219,601,theisda01
D.J. Augustin,32,ORL,PG,57,13,1420,184,461,70,201,114,260,0.475,161,181,22,100,122,262,34,1,86,72,599,augusdj01
Kent Bazemore,30,TOT,SF,68,21,1688,200,534,84,244,116,290,0.453,113,147,27,267,294,93,74,40,91,196,597,bazemke01
Austin Rivers,27,HOU,SG,68,4,1594,211,501,96,270,115,231,0.517,78,111,27,148,175,113,49,10,50,129,596,riverau01
Ivica Zubac,22,LAC,C,72,70,1326,236,385,0,2,236,383,0.613,124,166,197,346,543,82,16,66,61,168,596,zubaciv01
Paul Millsap,34,DEN,PF,51,48,1240,211,438,54,124,157,314,0.543,115,141,98,195,293,83,44,30,70,150,591,millspa01
Mitchell Robinson,21,NYK,C,61,7,1412,253,341,0,0,253,341,0.742,84,148,186,242,428,36,52,119,37,194,590,robinmi01
Gary Harris,25,DEN,SG,56,55,1780,218,519,70,210,148,309,0.487,75,92,26,137,163,118,76,14,60,116,581,harriga01
Jarrett Culver,20,MIN,SG,63,35,1506,230,569,66,221,164,348,0.462,54,117,70,142,212,110,57,38,81,125,580,culveja01
Anfernee Simons,20,POR,SG,70,4,1449,214,536,75,226,139,310,0.469,76,92,25,127,152,97,26,10,61,135,579,simonan01
Shabazz Napier,28,TOT,PG,56,32,1344,188,456,76,240,112,216,0.496,126,153,26,132,158,262,69,11,128,101,578,napiesh01
Jeremy Lamb,27,IND,SG,46,42,1291,216,479,53,158,163,321,0.506,92,110,24,176,200,96,55,22,50,104,577,lambje01
