Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,PlayerID
Kevin Huerter,21,ATL,SG,56,48,31.4,4.1,3.8,12.2,huertke01
Isaiah Thomas,30,WAS,PG,40,37,23.1,1.7,3.7,12.2,thomais02
P.J. Washington,21,CHA,PF,58,57,30.3,5.4,2.1,12.2,washipj01
Brandon Clarke,23,MEM,PF,58,4,22.4,5.9,1.4,12.1,clarkbr01
Markelle Fultz,21,ORL,PG,72,60,27.7,3.3,5.1,12.1,fultzma01
Taurean Prince,25,BKN,PF,64,61,29,6,1.8,12.1,princta02
Myles Turner,23,IND,C,62,62,29.5,6.6,1.2,12.1,turnemy01
Jerami Grant,25,DEN,PF,71,24,26.6,3.5,1.2,12,grantje01
Brook Lopez,31,MIL,C,68,67,26.7,4.6,1.5,12,lopezbr01
Tristan Thompson,28,CLE,C,57,51,30.2,10.1,2.1,12,thomptr01
Reggie Jackson,29,TOT,PG,31,16,24,3,4.1,11.9,jacksre01
Al Horford,33,PHI,C,67,61,30.2,6.8,4,11.9,horfoal01
Jonathan Isaac,22,ORL,PF,34,32,28.8,6.8,1.4,11.9,isaacjo01
Otto Porter Jr.,26,CHI,SF,14,9,23.6,3.4,1.8,11.9,porteot01
Lonzo Ball,22,NOP,PG,63,54,32.1,6.1,7,11.8,balllo01
Glenn Robinson III,26,TOT,SF,62,52,28.8,4.4,1.5,11.7,robingl02
Patty Mills,31,SAS,PG,66,1,22.5,1.6,1.8,11.6,millspa02
Paul Millsap,34,DEN,PF,51,48,24.3,5.7,1.6,11.6,millspa01
Jordan McRae,28,TOT,SG,37,4,21.2,3.4,2.5,11.5,mcraejo01
Aron Baynes,33,PHX,C,42,28,22.2,5.6,1.6,11.5,baynear01
Nemanja Bjelica,31,SAC,PF,72,67,27.9,6.4,2.8,11.5,bjeline01
Wendell Carter Jr.,20,CHI,C,43,43,29.2,9.4,1.2,11.3,cartewe01
Derrick White,25,SAS,SG,68,20,24.7,3.3,3.5,11.3,whitede01
Justise Winslow,23,MIA,SG,11,5,32,6.6,4,11.3,winslju01
Malik Beasley,23,TOT,SG,55,14,22,2.7,1.4,11.2,beaslma01
Bryn Forbes,26,SAS,SG,63,62,25.1,2,1.7,11.2,forbebr01
Dion Waiters,28,TOT,SG,10,0,20.7,2.4,2,11.1,waitedi01
Jarrett Allen,21,BKN,C,70,64,26.5,9.6,1.6,11.1,allenja01
Cody Zeller,27,CHA,C,58,39,23.1,7.1,1.5,11.1,zelleco01
Rodney Hood,27,POR,SF,21,21,29.5,3.4,1.5,11,hoodro01
Mychal Mulder,25,GSW,SF,7,3,29.1,3.3,1.1,11,muldemy01
Cedi Osman,24,CLE,SF,65,65,29.4,3.6,2.4,11,osmande01
Jeff Teague,31,TOT,PG,59,17,24.8,2.4,5.2,10.9,teaguje01
Steven Adams,26,OKC,C,63,63,26.7,9.3,2.3,10.9,adamsst01
Dejounte Murray,23,SAS,PG,66,58,25.6,5.8,4.1,10.9,murrade01
Cameron Payne,25,PHX,SG,8,0,22.9,3.9,3,10.9,payneca01
Ish Smith,31,WAS,PG,68,23,26.3,3.2,4.9,10.9,smithis01
Rudy Gay,33,SAS,PF,67,5,21.8,5.4,1.7,10.8,gayru01
Dario Šarić,25,PHX,PF,66,51,24.7,6.2,1.9,10.7,saricda01
OG Anunoby,22,TOR,SF,69,68,29.9,5.3,1.6,10.6,anunoog01
Jae Crowder,29,TOT,SF,65,53,28.8,5.9,2.5,10.5,crowdja01
D.J. Augustin,32,ORL,PG,57,13,24.9,2.1,4.6,10.5,augusdj01
Danuel House Jr.,26,HOU,SF,63,52,30.4,4.2,1.3,10.5,houseda01
Cam Reddish,20,ATL,SF,58,34,26.7,3.7,1.5,10.5,reddica01
Troy Brown Jr.,20,WAS,SF,69,22,25.8,5.6,2.6,10.4,browntr01
Gary Harris,25,DEN,SG,56,55,31.8,2.9,2.1,10.4,harriga01
Shabazz Napier,28,TOT,PG,56,32,24,2.8,4.7,10.3,napiesh01
Langston Galloway,28,DET,SG,66,6,25.8,2.3,1.5,10.3,gallola01
Doug McDermott,28,IND,PF,69,0,19.9,2.5,1.1,10.3,mcderdo01
Malik Monk,21,CHA,SG,55,1,21.3,2.9,2.1,10.3,monkma01
Garrett Temple,33,BKN,SG,62,35,27.9,3.5,2.5,10.3,templga01
Thaddeus Young,31,CHI,PF,64,16,24.9,4.9,1.8,10.3,youngth01
Josh Hart,24,NOP,SF,65,16,27,6.5,1.7,10.1,hartjo01
Ben McLemore,26,HOU,SF,71,23,22.8,2.2,0.8,10.1,mclembe01
Larry Nance Jr.,27,CLE,PF,56,10,26.3,7.3,2.2,10.1,nancela02
Bobby Portis,24,NYK,PF,66,5,21.1,5.1,1.5,10.1,portibo01
Elfrid Payton,25,NYK,PG,45,36,27.7,4.7,7.2,10,paytoel01
Kevin Porter Jr.,19,CLE,SF,50,3,23.2,3.2,2.2,10,porteke02
Tomáš Satoranský,28,CHI,SG,65,64,28.9,3.9,5.4,9.9,satorto01
Joe Ingles,32,UTA,PF,72,45,29.7,3.9,5.2,9.8,inglejo01
Furkan Korkmaz,22,PHI,SG,72,12,21.7,2.3,1.1,9.8,korkmfu01
Markieff Morris,30,TOT,PF,58,17,20.5,3.8,1.3,9.7,morrima02
Frank Kaminsky,26,PHX,C,39,13,19.9,4.5,1.9,9.7,kaminfr01
Mitchell Robinson,21,NYK,C,61,7,23.1,7,0.6,9.7,robinmi01
Dorian Finney-Smith,26,DAL,PF,71,68,29.9,5.7,1.6,9.5,finnedo01
Aaron Holiday,23,IND,PG,66,33,24.5,2.4,3.4,9.5,holidaa01
Jeff Green,33,TOT,C,48,4,20,2.8,1,9.4,greenje02
George Hill,33,MIL,PG,59,2,21.5,3,3.1,9.4,hillge01
Shake Milton,23,PHI,SG,40,24,20.1,2.2,2.6,9.4,miltosh01
Dwight Powell,28,DAL,C,40,37,26.5,5.7,1.5,9.4,poweldw01
Kentavious Caldwell-Pope,26,LAL,SG,69,26,25.5,2.1,1.6,9.3,caldwke01
Marquese Chriss,22,GSW,PF,59,21,20.3,6.2,1.9,9.3,chrisma01
Michael Porter Jr.,21,DEN,SF,55,8,16.4,4.7,0.8,9.3,portemi01
Landry Shamet,22,LAC,SG,53,30,27.4,1.9,1.9,9.3,shamela01
Jarrett Culver,20,MIN,SG,63,35,23.9,3.4,1.7,9.2,culveja01
Donte DiVincenzo,23,MIL,SG,66,24,23,4.8,2.3,9.2,divindo01
Daniel Theis,27,BOS,C,65,64,24.1,6.6,1.7,9.2,theisda01
Mikal Bridges,23,PHX,SF,73,32,28,4,1.8,9.1,bridgmi01
Keldon Johnson,20,SAS,SF,17,1,17.7,3.4,0.9,9.1,johnske04
Maxi Kleber,28,DAL,PF,74,21,25.5,5.2,1.2,9.1,klebima01
Jake Layman,25,MIN,SF,23,2,22,2.5,0.7,9.1,laymaja01
Derrick Favors,28,NOP,C,51,49,24.4,9.8,1.6,9,favorde01
Josh Jackson,22,MEM,SF,22,0,17.3,3,1.6,9,jacksjo02
Monte Morris,24,DEN,PG,73,12,22.4,1.9,3.5,9,morrimo01
Svi Mykhailiuk,22,DET,SF,56,27,22.6,1.9,1.9,9,mykhasv01
Naz Reid,20,MIN,C,30,11,16.5,4.1,1.2,9,reidna01
Bruce Brown,23,DET,PG,58,43,28.2,4.7,4,8.9,brownbr01
Gary Trent Jr.,21,POR,SF,61,8,21.8,1.6,1,8.9,trentga02
Kent Bazemore,30,TOT,SF,68,21,24.8,4.3,1.4,8.8,bazemke01
Cameron Johnson,23,PHX,PF,57,9,22,3.3,1.2,8.8,johnsca02
Jordan Poole,20,GSW,SG,57,14,22.4,2.1,2.4,8.8,poolejo01
Austin Rivers,27,HOU,SG,68,4,23.4,2.6,1.7,8.8,riverau01
Grayson Allen,24,MEM,SG,38,0,18.9,2.2,1.4,8.7,allengr01
Moritz Wagner,22,WAS,C,45,5,18.6,4.9,1.2,8.7,wagnemo01
Avery Bradley,29,LAL,SG,49,44,24.2,2.3,1.3,8.6,bradlav01
Josh Okogie,21,MIN,SG,62,28,25,4.3,1.6,8.6,okogijo01
Derrick Jones Jr.,22,MIA,SF,59,16,23.3,3.9,1.1,8.5,jonesde02
James Johnson,32,TOT,PF,32,1,19.3,3.7,2.3,8.4,johnsja01
Justin Holiday,30,IND,SF,73,6,25,3.3,1.3,8.3,holidju01
DeAndre Jordan,31,BKN,C,56,6,22,10,1.9,8.3,jordade01
E'Twaun Moore,30,NOP,SG,56,6,18.2,2.3,1.4,8.3,mooreet01
Jeremy Pargo,33,GSW,PG,3,0,14.7,1,2.7,8.3,pargoje01
Anfernee Simons,20,POR,SG,70,4,20.7,2.2,1.4,8.3,simonan01
Ivica Zubac,22,LAC,C,72,70,18.4,7.5,1.1,8.3,zubaciv01
Jalen Brunson,23,DAL,PG,57,16,17.9,2.4,3.3,8.2,brunsja01
Kelly Olynyk,28,MIA,C,67,9,19.4,4.6,1.7,8.2,olynyke01
Reggie Bullock,28,NYK,SG,29,19,23.6,2.3,1.4,8.1,bullore01
Enes Freedom,27,BOS,C,58,7,16.9,7.4,1,8.1,kanteen01
Jahlil Okafor,24,NOP,C,30,9,15.6,4.2,1.2,8.1,okafoja01
Trevor Ariza,34,TOT,SF,53,21,28.2,4.6,1.7,8,arizatr01
Alex Len,26,TOT,C,55,12,17.6,5.8,0.9,8,lenal01
Danny Green,32,LAL,SG,68,68,24.8,3.3,1.3,8,greenda02
Draymond Green,29,GSW,PF,43,43,28.4,6.2,6.2,8,greendr01
Tony Snell,28,DET,SF,59,57,27.8,1.9,2.2,8,snellto01
Sindarius Thornwell,25,NOP,SF,2,0,17.5,2,2,8,thornsi01
Patrick Beverley,31,LAC,PG,51,50,26.3,5.2,3.6,7.9,beverpa01
Chandler Hutchison,23,CHI,SF,28,10,18.8,3.9,0.9,7.8,hutchch01
Timothé Luwawu-Cabarrot,24,BKN,SF,47,2,18.1,2.7,0.6,7.8,luwawti01
J.J. Barea,35,DAL,PG,29,6,15.5,1.8,3.9,7.7,bareajo01
Jordan McLaughlin,23,MIN,PG,30,2,19.7,1.6,4.2,7.6,mclaujo01
De'Anthony Melton,21,MEM,PG,60,8,19.5,3.7,2.9,7.6,meltode01
Omari Spellman,22,GSW,C,49,3,18.1,4.5,1,7.6,spellom01
Terence Davis,22,TOR,SG,72,4,16.8,3.3,1.6,7.5,daviste02
Marc Gasol,35,TOR,C,44,43,26.4,6.3,3.3,7.5,gasolma01
Dwight Howard,34,LAL,C,69,2,18.9,7.3,0.7,7.5,howardw01
Trey Burke,27,TOT,PG,33,1,15.8,1.5,2.5,7.4,burketr01
Bismack Biyombo,27,CHA,C,53,29,19.4,5.8,0.9,7.4,biyombi01
Ky Bowman,22,GSW,PG,45,12,22.6,2.7,2.9,7.4,bowmaky01
Gorgui Dieng,30,TOT,C,63,17,17.4,5.6,1.2,7.4,dienggo01
Jaxson Hayes,19,NOP,C,64,14,16.9,4,0.9,7.4,hayesja02
Tyus Jones,23,MEM,PG,65,6,19,1.6,4.4,7.4,jonesty01
Ian Mahinmi,33,WAS,C,38,35,21.3,5.7,1.3,7.4,mahinia01
Wesley Matthews,33,MIL,SG,67,67,24.4,2.5,1.4,7.4,matthwe02
Nerlens Noel,25,OKC,C,61,7,18.5,4.9,0.9,7.4,noelne01
Brandon Knight,28,TOT,SG,25,3,18.5,1.6,2.8,7.3,knighbr03
Kris Dunn,25,CHI,PG,51,32,24.9,3.6,3.4,7.3,dunnkr01
Emmanuel Mudiay,23,UTA,PG,54,2,15.7,2.3,2.1,7.3,mudiaem01
Willie Cauley-Stein,26,TOT,C,54,39,20.3,5.8,1.3,7.2,caulewi01
Michael Carter-Williams,28,ORL,SG,45,0,18.5,3.3,2.4,7.2,cartemi01
Mason Plumlee,29,DEN,C,61,1,17.3,5.2,2.5,7.2,plumlma01
Jeremiah Martin,23,BKN,PG,9,0,11,1.1,2,7.1,martije02
Rajon Rondo,33,LAL,PG,48,3,20.5,3,5,7.1,rondora01
