Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Cameron Oliver,25,ATL,SF,2,0,43,0.667,0.8,0.6,0.133,0,0.067,0.2,0.75,0.667,1,0,1,0.333,0.778,1,0.067,1,0.333,0,oliveca01
Robert Woodard II,22,SAC,SF,12,0,42,0.125,0.75,0.188,0.25,0.125,0.188,0.25,0.083,0.333,0,0,0,0.25,1,1,0.063,1,0.25,0,woodaro01
Sharife Cooper,20,ATL,PG,13,0,39,0.214,0.571,0.5,0.071,0,0,0.429,0.25,0.143,1,0,0,0.167,0.5,0,0,0,0.333,0,coopesh01
Cassius Winston,23,WAS,PG,7,0,39,0.364,0.455,0.091,0.091,0.182,0.091,0.545,0.4,0,0,0.5,1,0.333,0.5,1,0,0,0.167,0,winstca01
Xavier Sneed,24,TOT,SF,9,0,39,0.2,0.2,0.1,0,0.1,0,0.8,0.5,1,0,0,0,0.125,0,1,0,0,0.5,0,sneedxa01
Nik Stauskas,28,TOT,SG,8,0,39,0.357,0.286,0.071,0.071,0.071,0.071,0.714,0.25,0,0,1,0,0.4,1,0.75,0,0,0.5,0.6,stausni01
Petr Cornelie,26,DEN,PF,13,0,38,0.333,0.467,0.333,0.067,0,0.067,0.533,0.571,0.6,1,0,0,0.125,1,1,0.267,2,0.375,0,cornepe01
Darren Collison,34,LAL,PG,3,0,37,0.286,0.571,0.286,0,0,0.286,0.429,0.5,1,0,0,0,0,1,0,0,0,1,0,collida01
Justin Jackson,26,TOT,SF,7,0,37,0.333,0.4,0,0.2,0.067,0.133,0.6,0.333,0,0.667,0,0,0.333,1,1,0,0,0.111,1,jacksju01
Marko Simonovic,22,CHI,C,9,0,35,0.267,0.667,0.333,0.2,0,0.133,0.333,0.3,0.6,0,0,0,0.2,0.667,1,0.067,1,0,0,simonma01
Cheick Diallo,25,DET,C,3,0,31,0.375,1,0.375,0.625,0,0,0,0.375,0.667,0.2,0,0,0,0.333,0,0.125,1,0,0,diallch01
Micah Potter,23,DET,C,3,0,31,0.455,0.818,0.364,0.273,0.182,0,0.182,0.556,0.5,0.667,0.5,0,0,0.6,0,0,0,0,0,pottemi01
Juwan Morgan,24,TOT,PF,2,0,31,0.667,0.333,0.333,0,0,0,0.667,1,1,0,0,0,0.5,1,1,0,0,0,0,morgaju01
Jordan Schakel,23,WAS,SG,4,0,30,0.091,0.455,0.091,0.273,0,0.091,0.545,0,0,0,0,0,0.167,0,1,0,0,0.167,0,schakjo01
Daniel Oturu,22,TOR,C,3,0,27,0.5,0.833,0.5,0.333,0,0,0.167,0.6,0.667,0.5,0,0,0,0.333,0,0,0,0,0,oturuda01
Deividas Sirvydis,21,DET,SG,3,0,27,0.1,0.3,0.2,0.1,0,0,0.7,0,0,0,0,0,0.143,0,1,0,0,0,0,sirvyde01
Mac McClung,23,TOT,SG,2,0,25,0.5,0.5,0.333,0,0,0.167,0.5,0.667,0.5,0,0,1,0.333,1,1,0.167,1,0,0,mccluma01
Shaquille Harrison,28,BKN,SG,2,0,23,0.333,0.667,0.5,0.167,0,0,0.333,0.5,0.667,0,0,0,0,0.5,0,0,0,1,0,harrish01
Carlik Jones,24,TOT,PG,5,0,23,0.111,0.889,0.333,0.111,0.333,0.111,0.111,0.125,0.333,0,0,0,0,0,0,0,0,1,0,jonesca03
Chandler Hutchison,25,PHX,SF,6,0,22,0.5,1,0.5,0.5,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,hutchch01
Damyean Dotson,27,NYK,SG,2,0,21,0.5,0.75,0.25,0.25,0.25,0,0.25,0.667,1,0,1,0,0,0.5,0,0,0,1,0,dotsoda01
Gabe York,28,IND,SG,2,0,21,0.286,0.143,0,0.143,0,0,0.857,1,0,1,0,0,0.167,1,1,0,0,0.167,0,yorkga01
Joel Ayayi,21,WAS,SG,7,0,20,0.167,0.833,0.167,0.333,0.167,0.167,0.167,0.2,0,0,1,0,0,0,0,0,0,0,0,ayayijo01
Jay Huff,23,LAL,C,4,0,20,0,0.333,0,0.333,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,huffja01
McKinley Wright IV,23,MIN,PG,5,0,19,0.667,0.333,0,0.333,0,0,0.667,1,0,1,0,0,0.5,0,0,0,0,0,0,wrighmc01
George King,28,DAL,SF,4,0,19,0,0.2,0,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.75,0,kingge03
Norvel Pelle,28,UTA,C,3,0,19,0.6,1,1,0,0,0,0,0.6,0.6,0,0,0,0,0.667,0,0.4,2,0,0,pelleno01
Wayne Selden,27,NYK,SG,3,0,19,0.25,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0.5,0,seldewa01
Craig Sword,28,WAS,SG,3,0,19,0.75,0.75,0.75,0,0,0,0.25,1,1,0,0,0,0,1,0,0,0,1,0,swordcr01
Eugene Omoruyi,24,DAL,SF,4,0,18,0.4,0.6,0,0.2,0.2,0.2,0.4,0.333,0,1,0,0,0.5,0,1,0,0,0.5,0,omorueu01
Emanuel Terry,25,PHX,PF,3,0,18,0,1,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,terryem01
Scotty Hopson,32,OKC,SG,1,0,18,0.5,0.75,0,0.25,0,0.5,0.25,0.667,0,0,0,1,0,0.5,0,0,0,0,0,hopsosc01
Aaron Henry,22,PHI,SF,6,0,17,0.2,0.8,0.2,0.2,0.4,0,0.2,0.25,1,0,0,0,0,1,0,0,0,0,0,henryaa01
Trayvon Palmer,27,DET,SG,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,palmetr01
Dakota Mathias,26,MEM,SG,6,0,16,0.333,0,0,0,0,0,1,0,0,0,0,0,0.333,0,1,0,0,0.167,1,mathida01
Jaylen Morris,26,SAS,SG,3,0,16,0,0.667,0.5,0.167,0,0,0.333,0,0,0,0,0,0,0,0,0.167,0,0,0,morrija01
Sekou Doumbouya,21,LAL,PF,2,0,16,0.625,0.75,0.5,0.25,0,0,0.25,0.667,1,0,0,0,0.5,0.5,1,0,0,0,0,doumbse01
Jemerrio Jones,26,LAL,SF,2,0,15,0.667,1,0.667,0.333,0,0,0,0.667,1,0,0,0,0,0.5,0,0,0,0,0,jonesje01
Moses Wright,23,TOT,PF,4,0,14,0.25,0.75,0.25,0,0.5,0,0.25,0.333,1,0,0,0,0,1,0,0,0,1,0,wrighmo01
Cat Barber,27,ATL,PG,3,0,13,0,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,barbeca01
Jarron Cumberland,24,POR,SG,3,0,12,0.5,0.5,0.5,0,0,0,0.5,1,1,0,0,0,0,1,0,0,0,0,0,cumbeja01
JaQuori McLaughlin,24,DAL,PG,4,0,11,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,mclauja01
Rob Edwards,25,OKC,SG,2,0,11,0.25,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,0.5,0,edwarro01
Emmanuel Mudiay,25,SAC,PG,2,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mudiaem01
Tre Scott,25,CLE,SF,2,0,11,0.5,0.833,0.5,0.167,0.167,0,0.167,0.6,0.667,1,0,0,0,0.667,0,0,0,0,0,scotttr01
Shaq Buchanan,25,MEM,SG,2,0,10,0.25,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0,0,buchash01
DaQuan Jeffries,24,MEM,SG,3,0,9,0.5,0.5,0.5,0,0,0,0.5,1,1,0,0,0,0,1,0,0.5,1,1,0,jeffrda01
Jon Teske,24,MEM,C,3,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,teskejo01
Feron Hunt,22,NYK,SF,2,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,huntfe01
