Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Bruce Brown,25,BKN,SF,72,45,1774,0.506,0.814,0.389,0.3,0.099,0.016,0.186,0.529,0.695,0.382,0.38,0.125,0.404,0.743,0.921,0.071,34,0.617,0.397,brownbr01
P.J. Washington,23,CHA,C,65,28,1768,0.47,0.434,0.286,0.132,0.015,0.002,0.566,0.606,0.711,0.4,0.5,0,0.365,0.793,0.973,0.103,51,0.252,0.316,washipj01
Chuma Okeke,23,ORL,PF,70,20,1749,0.376,0.355,0.137,0.139,0.045,0.033,0.645,0.48,0.658,0.413,0.346,0.211,0.318,0.531,0.966,0.054,29,0.24,0.382,okekech01
Georges Niang,28,PHI,PF,76,7,1736,0.437,0.313,0.119,0.153,0.032,0.009,0.687,0.511,0.627,0.465,0.389,0.2,0.403,0.711,0.981,0.004,2,0.305,0.39,niangge01
Kevon Looney,25,GSW,C,82,80,1732,0.571,0.997,0.541,0.308,0.066,0.082,0.003,0.573,0.675,0.554,0.292,0.2,0,0.736,0,0.239,83,0,0,looneke01
Cameron Johnson,25,PHX,PF,66,16,1730,0.46,0.356,0.127,0.147,0.041,0.041,0.644,0.523,0.766,0.483,0.24,0.2,0.425,0.673,0.976,0.035,19,0.368,0.465,johnsca02
Gary Harris,27,ORL,SG,61,30,1730,0.434,0.454,0.145,0.152,0.051,0.107,0.546,0.494,0.675,0.464,0.429,0.322,0.384,0.589,0.931,0.014,7,0.464,0.471,harriga01
OG Anunoby,24,TOR,SF,48,48,1728,0.443,0.545,0.255,0.118,0.08,0.076,0.455,0.511,0.691,0.354,0.393,0.283,0.363,0.448,0.835,0.109,62,0.29,0.478,anunoog01
Precious Achiuwa,22,TOR,C,73,28,1725,0.439,0.741,0.343,0.267,0.083,0.035,0.259,0.468,0.618,0.335,0.38,0.19,0.359,0.584,0.964,0.143,67,0.429,0.313,achiupr01
Deandre Ayton,23,PHX,C,58,58,1713,0.634,0.973,0.321,0.395,0.184,0.056,0.027,0.642,0.79,0.593,0.555,0.385,0.368,0.795,1,0.141,92,0,0,aytonde01
Garrison Mathews,25,HOU,SG,65,33,1712,0.399,0.163,0.104,0.041,0.009,0.009,0.837,0.6,0.771,0.316,0.25,0.25,0.36,0.756,0.978,0.024,10,0.244,0.33,mathega01
Josh Giddey,19,OKC,SF,54,54,1700,0.419,0.682,0.193,0.33,0.096,0.052,0.318,0.492,0.659,0.439,0.422,0.314,0.263,0.302,0.786,0.009,4,0.202,0.326,giddejo01
Pat Connaughton,29,MIL,SF,65,19,1691,0.458,0.254,0.157,0.065,0.022,0.006,0.746,0.643,0.744,0.5,0.636,0,0.395,0.778,0.938,0.018,8,0.284,0.448,connapa01
Chris Boucher,29,TOR,SF,80,9,1690,0.464,0.603,0.426,0.113,0.026,0.033,0.397,0.575,0.659,0.4,0.4,0.211,0.297,0.665,0.985,0.128,67,0.275,0.429,bouchch01
Matisse Thybulle,24,PHI,SG,66,50,1685,0.5,0.52,0.407,0.097,0.017,0,0.48,0.673,0.795,0.276,0,0,0.313,0.733,0.956,0.203,60,0.486,0.371,thybuma01
Anfernee Simons,22,POR,SG,57,30,1681,0.443,0.445,0.112,0.118,0.108,0.104,0.555,0.49,0.562,0.489,0.488,0.422,0.405,0.195,0.631,0.011,8,0.09,0.4,simonan01
Coby White,21,CHI,PG,61,17,1675,0.433,0.452,0.183,0.13,0.065,0.073,0.548,0.491,0.661,0.357,0.381,0.404,0.385,0.42,0.897,0.008,5,0.198,0.471,whiteco01
Danilo Gallinari,33,ATL,PF,66,18,1672,0.434,0.508,0.114,0.087,0.151,0.149,0.492,0.485,0.721,0.385,0.467,0.382,0.381,0.463,0.911,0.032,19,0.116,0.471,gallida01
Eric Gordon,33,HOU,SG,57,46,1669,0.475,0.466,0.238,0.2,0.021,0.007,0.534,0.548,0.679,0.416,0.333,0.5,0.412,0.34,0.718,0.005,3,0.066,0.5,gordoer01
Kevin Love,33,CLE,C,74,4,1665,0.43,0.373,0.109,0.097,0.084,0.075,0.627,0.493,0.723,0.473,0.391,0.333,0.392,0.564,0.93,0.007,4,0.17,0.358,loveke01
Luguentz Dort,22,OKC,SG,51,51,1665,0.404,0.461,0.187,0.201,0.029,0.032,0.539,0.487,0.618,0.425,0.238,0.348,0.332,0.485,0.869,0.034,22,0.141,0.436,dortlu01
John Collins,24,ATL,PF,54,53,1663,0.526,0.727,0.325,0.208,0.124,0.054,0.273,0.588,0.746,0.463,0.438,0.4,0.364,0.771,0.984,0.141,82,0.318,0.375,collijo01
De'Anthony Melton,23,MEM,SG,73,15,1657,0.404,0.465,0.164,0.164,0.068,0.065,0.535,0.44,0.605,0.368,0.383,0.289,0.374,0.472,0.856,0.037,21,0.156,0.5,meltode01
KJ Martin,21,HOU,SF,79,2,1656,0.533,0.679,0.455,0.222,0.002,0,0.321,0.617,0.739,0.371,0,0,0.357,0.735,1,0.256,114,0.274,0.283,martike04
Killian Hayes,20,DET,PG,66,40,1647,0.383,0.636,0.163,0.253,0.135,0.085,0.364,0.452,0.747,0.345,0.387,0.308,0.263,0.341,0.909,0.031,13,0.359,0.333,hayeski01
Montrezl Harrell,28,TOT,C,71,3,1641,0.645,0.969,0.577,0.258,0.077,0.034,0.031,0.658,0.769,0.524,0.395,0.316,0.235,0.641,1,0.285,149,0.118,0.5,harremo01
Lonnie Walker IV,23,SAS,SG,70,6,1612,0.407,0.538,0.166,0.122,0.093,0.157,0.462,0.487,0.693,0.43,0.366,0.383,0.314,0.54,0.856,0.029,21,0.195,0.362,walkelo01
Cory Joseph,30,DET,PG,65,39,1600,0.445,0.608,0.22,0.21,0.065,0.113,0.393,0.465,0.614,0.429,0.346,0.311,0.414,0.416,0.862,0.003,0,0.248,0.487,josepco01
Josh Richardson,28,TOT,SG,65,7,1600,0.438,0.539,0.109,0.154,0.178,0.099,0.461,0.458,0.655,0.39,0.432,0.396,0.415,0.477,0.99,0.017,8,0.183,0.422,richajo01
Torrey Craig,31,TOT,SF,78,16,1596,0.454,0.469,0.229,0.141,0.057,0.041,0.531,0.594,0.723,0.532,0.4,0.333,0.329,0.577,0.935,0.041,18,0.397,0.355,craigto01
Gabe Vincent,25,MIA,PG,68,27,1589,0.417,0.37,0.138,0.078,0.082,0.072,0.63,0.5,0.563,0.475,0.524,0.378,0.368,0.4,0.798,0.002,1,0.251,0.42,vincega01
Max Strus,25,MIA,SF,68,16,1587,0.441,0.216,0.133,0.053,0.016,0.012,0.784,0.557,0.667,0.433,0.222,0.429,0.41,0.779,0.95,0.016,7,0.256,0.504,strusma01
Jusuf Nurkić,27,POR,C,56,56,1579,0.535,0.907,0.478,0.35,0.03,0.037,0.093,0.563,0.648,0.481,0.278,0.364,0.268,0.614,0.933,0.06,34,0.018,1,nurkiju01
De'Andre Hunter,24,ATL,SF,53,52,1577,0.442,0.661,0.214,0.174,0.151,0.106,0.339,0.474,0.65,0.41,0.402,0.328,0.379,0.644,0.919,0.042,21,0.405,0.405,huntede01
Amir Coffey,24,LAC,SG,69,30,1567,0.453,0.455,0.165,0.167,0.077,0.045,0.545,0.542,0.779,0.449,0.417,0.238,0.378,0.591,0.938,0.034,14,0.291,0.365,coffeam01
Oshae Brissett,23,IND,SF,67,25,1564,0.411,0.532,0.318,0.152,0.024,0.03,0.468,0.465,0.578,0.299,0.167,0.267,0.35,0.648,0.964,0.075,32,0.321,0.382,brissos01
Marcus Morris,32,LAC,PF,54,54,1564,0.434,0.602,0.046,0.145,0.24,0.171,0.398,0.478,0.688,0.49,0.47,0.424,0.367,0.327,0.901,0.001,0,0.215,0.373,morrima03
Gordon Hayward,31,CHA,SF,49,48,1564,0.459,0.643,0.214,0.173,0.157,0.099,0.357,0.496,0.682,0.327,0.381,0.574,0.391,0.579,0.872,0.032,19,0.205,0.444,haywago01
Tyus Jones,25,MEM,PG,73,23,1549,0.451,0.629,0.098,0.241,0.241,0.045,0.371,0.487,0.593,0.496,0.459,0.36,0.39,0.367,0.813,0,0,0.2,0.39,jonesty01
Chris Duarte,24,IND,SG,55,39,1541,0.432,0.589,0.196,0.134,0.143,0.103,0.411,0.475,0.631,0.373,0.371,0.453,0.369,0.466,0.766,0.026,14,0.271,0.377,duartch01
Trey Lyles,26,TOT,PF,75,23,1537,0.466,0.628,0.292,0.224,0.077,0.036,0.372,0.552,0.671,0.516,0.279,0.4,0.321,0.6,1,0.046,23,0.239,0.38,lylestr01
Javonte Green,28,CHI,SF,65,45,1519,0.542,0.689,0.535,0.123,0.031,0,0.311,0.625,0.695,0.425,0.2,0,0.356,0.679,1,0.194,58,0.594,0.433,greenja02
Talen Horton-Tucker,21,LAL,SG,60,19,1511,0.416,0.662,0.297,0.204,0.1,0.059,0.338,0.492,0.613,0.409,0.389,0.344,0.269,0.406,0.796,0.035,16,0.187,0.324,hortota01
Jerami Grant,27,DET,PF,47,47,1500,0.426,0.637,0.202,0.149,0.106,0.18,0.363,0.465,0.631,0.442,0.243,0.429,0.358,0.498,0.967,0.049,29,0.358,0.33,grantje01
Alperen Şengün,19,HOU,C,72,13,1489,0.474,0.777,0.429,0.297,0.042,0.01,0.223,0.539,0.671,0.385,0.318,0.4,0.248,0.436,0.966,0.099,44,0.085,0.2,sengual01
Kyle Anderson,28,MEM,PF,69,11,1484,0.446,0.768,0.273,0.301,0.141,0.045,0.232,0.481,0.648,0.44,0.333,0.238,0.33,0.514,0.944,0.043,19,0.413,0.422,anderky01
Kristaps Porziņģis,26,TOT,PF,51,51,1481,0.459,0.671,0.214,0.183,0.186,0.089,0.329,0.532,0.762,0.414,0.42,0.456,0.31,0.682,0.987,0.124,85,0.028,0.429,porzikr01
Austin Rivers,29,DEN,SG,67,18,1480,0.417,0.34,0.16,0.151,0.02,0.009,0.66,0.563,0.75,0.453,0.143,0,0.342,0.463,0.848,0.006,2,0.45,0.471,riverau01
Patrick Beverley,33,MIN,PG,58,54,1476,0.406,0.445,0.17,0.206,0.05,0.018,0.555,0.485,0.568,0.433,0.545,0.125,0.343,0.255,0.759,0,0,0.227,0.473,beverpa01
Nickeil Alexander-Walker,23,TOT,SG,65,21,1466,0.372,0.503,0.207,0.16,0.069,0.056,0.497,0.433,0.574,0.321,0.383,0.289,0.311,0.385,0.876,0.015,8,0.234,0.38,alexani01
Cedi Osman,26,CLE,SF,66,3,1462,0.432,0.372,0.227,0.107,0.017,0.021,0.628,0.559,0.654,0.443,0.2,0.417,0.357,0.689,0.867,0.014,8,0.181,0.415,osmande01
Nicolas Batum,33,LAC,PF,59,54,1462,0.463,0.302,0.116,0.041,0.057,0.075,0.698,0.607,0.822,0.375,0.636,0.379,0.4,0.803,0.944,0.044,13,0.307,0.47,batumni01
Norman Powell,28,TOT,SF,45,41,1458,0.461,0.582,0.256,0.179,0.058,0.089,0.418,0.491,0.568,0.407,0.514,0.426,0.419,0.509,0.877,0.026,13,0.316,0.388,powelno01
Delon Wright,29,ATL,SG,77,8,1452,0.454,0.569,0.29,0.178,0.045,0.041,0.431,0.51,0.615,0.417,0.25,0.455,0.379,0.436,0.818,0.022,6,0.25,0.276,wrighde01
Maxi Kleber,30,DAL,PF,59,21,1450,0.398,0.28,0.164,0.051,0.04,0.025,0.72,0.586,0.845,0.278,0.214,0.111,0.325,0.845,0.988,0.056,20,0.231,0.322,klebima01
Terrence Ross,30,ORL,SG,63,0,1448,0.397,0.523,0.108,0.125,0.155,0.135,0.477,0.493,0.7,0.435,0.523,0.347,0.292,0.524,0.779,0.023,10,0.133,0.314,rosste01
Daniel Gafford,23,WAS,C,72,53,1444,0.693,0.998,0.655,0.304,0.022,0.012,0.002,0.695,0.836,0.448,0.333,0,0,0.737,0,0.438,158,0,0,gaffoda01
Bradley Beal,28,WAS,SG,40,40,1439,0.451,0.728,0.195,0.237,0.17,0.101,0.272,0.508,0.693,0.415,0.473,0.462,0.3,0.358,0.603,0.017,13,0.229,0.396,bealbr01
Landry Shamet,24,PHX,SG,69,14,1437,0.394,0.311,0.087,0.109,0.058,0.056,0.689,0.45,0.643,0.34,0.393,0.444,0.368,0.603,0.943,0.029,13,0.302,0.396,shamela01
Andre Drummond,28,TOT,C,73,36,1437,0.57,0.993,0.707,0.261,0.021,0.005,0.007,0.574,0.641,0.434,0.222,0,0,0.591,0,0.249,93,0,0,drumman01
Austin Reaves,23,LAL,SG,61,19,1418,0.459,0.475,0.211,0.157,0.066,0.035,0.525,0.616,0.746,0.56,0.571,0.182,0.317,0.548,0.981,0.019,6,0.281,0.362,reaveau01
Furkan Korkmaz,24,PHI,SG,67,19,1414,0.387,0.434,0.187,0.149,0.047,0.051,0.566,0.515,0.739,0.314,0.5,0.292,0.289,0.524,0.87,0.021,8,0.199,0.283,korkmfu01
Avery Bradley,31,LAL,SG,62,45,1406,0.423,0.4,0.129,0.091,0.083,0.089,0.6,0.471,0.6,0.281,0.483,0.452,0.39,0.621,0.902,0.003,1,0.533,0.375,bradlav01
Anthony Davis,28,LAL,C,40,40,1404,0.532,0.899,0.363,0.191,0.142,0.173,0.101,0.571,0.794,0.481,0.323,0.408,0.186,0.63,0.846,0.174,109,0.1,0.429,davisan02
R.J. Hampton,20,ORL,SG,64,14,1402,0.383,0.6,0.217,0.304,0.044,0.035,0.4,0.405,0.525,0.36,0.2,0.313,0.35,0.333,0.906,0.028,9,0.197,0.389,hamptrj01
Jaxson Hayes,21,NOP,C,70,28,1398,0.616,0.857,0.533,0.259,0.04,0.018,0.143,0.66,0.774,0.485,0.375,0.286,0.351,0.747,0.95,0.276,103,0.316,0.278,hayesja02
Otto Porter Jr.,28,GSW,PF,63,15,1396,0.464,0.481,0.161,0.163,0.087,0.07,0.519,0.565,0.746,0.515,0.444,0.414,0.37,0.735,0.95,0.029,11,0.241,0.327,porteot01
Raul Neto,29,WAS,PG,70,19,1372,0.463,0.728,0.231,0.313,0.159,0.025,0.272,0.526,0.667,0.449,0.471,0.545,0.292,0.331,0.686,0,0,0.142,0.294,netora01
Caleb Martin,26,MIA,SF,60,12,1372,0.507,0.622,0.373,0.144,0.034,0.068,0.378,0.565,0.739,0.237,0.143,0.5,0.413,0.604,0.906,0.107,36,0.452,0.4,martica02
Tre Mann,20,OKC,PG,60,26,1367,0.393,0.537,0.102,0.264,0.092,0.078,0.463,0.421,0.533,0.394,0.407,0.37,0.36,0.286,0.663,0.014,6,0.143,0.436,manntr01
Eric Bledsoe,32,LAC,PG,54,29,1361,0.421,0.652,0.226,0.19,0.107,0.12,0.348,0.479,0.623,0.449,0.44,0.286,0.313,0.295,0.902,0.002,1,0.123,0.35,bledser01
Danny Green,34,PHI,SF,62,28,1353,0.394,0.153,0.069,0.047,0.019,0.019,0.847,0.469,0.682,0.2,0.5,0.333,0.38,0.87,0.922,0.003,1,0.487,0.402,greenda02
Ziaire Williams,20,MEM,SF,62,31,1346,0.45,0.429,0.179,0.108,0.083,0.059,0.571,0.632,0.855,0.478,0.343,0.64,0.314,0.8,0.947,0.104,44,0.463,0.321,willizi02
Josh Christopher,20,HOU,SG,74,2,1334,0.448,0.622,0.3,0.188,0.114,0.02,0.378,0.54,0.647,0.532,0.333,0.2,0.296,0.423,0.768,0.078,35,0.217,0.317,chrisjo01
Draymond Green,31,GSW,PF,46,44,1329,0.525,0.79,0.315,0.377,0.058,0.039,0.21,0.586,0.716,0.557,0.267,0.3,0.296,0.714,1,0.093,21,0.222,0.167,greendr01
Bones Hyland,21,DEN,SG,69,4,1310,0.403,0.373,0.123,0.13,0.072,0.049,0.627,0.465,0.7,0.284,0.341,0.536,0.366,0.364,0.687,0.009,3,0.173,0.306,hylanbo01
Jalen Suggs,20,ORL,PG,48,45,1307,0.361,0.642,0.263,0.245,0.069,0.066,0.358,0.443,0.611,0.313,0.395,0.306,0.214,0.365,0.667,0.035,15,0.122,0.208,suggsja01
John Konchar,25,MEM,SG,72,7,1292,0.515,0.519,0.324,0.092,0.053,0.038,0.481,0.61,0.741,0.458,0.429,0.1,0.413,0.59,0.904,0.08,18,0.452,0.439,konchjo01
Bryn Forbes,28,TOT,SG,75,2,1286,0.429,0.453,0.043,0.137,0.109,0.163,0.547,0.447,0.609,0.432,0.525,0.364,0.414,0.697,0.959,0,0,0.173,0.569,forbebr01
Ben McLemore,28,POR,SG,64,6,1285,0.401,0.226,0.091,0.033,0.006,0.096,0.774,0.533,0.694,0.389,0.333,0.442,0.362,0.846,0.967,0.017,8,0.309,0.488,mclembe01
Chimezie Metu,24,SAC,C,60,20,1279,0.452,0.586,0.229,0.223,0.085,0.049,0.414,0.555,0.718,0.49,0.368,0.409,0.306,0.74,0.965,0.167,63,0.301,0.304,metuch01
Cameron Payne,27,PHX,PG,58,12,1278,0.409,0.641,0.187,0.3,0.112,0.041,0.359,0.449,0.536,0.381,0.53,0.333,0.336,0.183,0.634,0.002,1,0.085,0.222,payneca01
Hamidou Diallo,23,DET,SG,58,29,1269,0.496,0.823,0.333,0.3,0.122,0.068,0.177,0.55,0.691,0.5,0.391,0.361,0.247,0.517,0.913,0.101,51,0.505,0.277,diallha01
Damion Lee,29,GSW,SG,63,5,1256,0.441,0.512,0.188,0.146,0.091,0.086,0.488,0.541,0.833,0.429,0.343,0.303,0.337,0.736,0.984,0.005,2,0.396,0.324,leeda03
George Hill,35,MIL,PG,54,17,1253,0.429,0.513,0.262,0.131,0.058,0.047,0.487,0.546,0.736,0.306,0.313,0.462,0.306,0.429,0.902,0.015,3,0.366,0.388,hillge01
Gary Payton II,29,GSW,SG,71,16,1247,0.616,0.651,0.398,0.244,0.003,0.006,0.349,0.754,0.825,0.655,0,0.5,0.358,0.787,1,0.18,55,0.6,0.403,paytoga02
Brandon Clarke,25,MEM,PF,64,1,1246,0.644,0.951,0.499,0.311,0.116,0.016,0.049,0.666,0.776,0.568,0.462,0.571,0.227,0.689,1,0.179,76,0.682,0.2,clarkbr01
Tim Hardaway Jr.,29,DAL,SG,42,20,1245,0.394,0.426,0.094,0.092,0.098,0.142,0.574,0.473,0.68,0.429,0.404,0.413,0.336,0.664,0.804,0.034,15,0.194,0.322,hardati02
Drew Eubanks,24,TOT,C,71,31,1245,0.596,0.938,0.442,0.364,0.094,0.038,0.062,0.621,0.683,0.563,0.657,0.357,0.217,0.759,1,0.237,77,0.174,0.25,eubandr01
Myles Turner,25,IND,C,42,42,1235,0.509,0.534,0.239,0.211,0.048,0.025,0.466,0.662,0.798,0.566,0.526,0.5,0.333,0.676,0.984,0.061,22,0.186,0.324,turnemy01
Aleksej Pokusevski,20,OKC,PF,61,12,1233,0.408,0.568,0.2,0.248,0.07,0.05,0.432,0.498,0.703,0.416,0.344,0.304,0.289,0.535,0.947,0.075,32,0.203,0.325,pokusal01
Obi Toppin,23,NYK,PF,72,10,1230,0.531,0.643,0.505,0.108,0.017,0.013,0.357,0.655,0.728,0.392,0.375,0.333,0.308,0.824,1,0.235,102,0.491,0.349,toppiob01
Doug McDermott,30,SAS,PF,51,51,1223,0.462,0.449,0.176,0.185,0.06,0.028,0.551,0.512,0.646,0.395,0.464,0.538,0.422,0.85,0.991,0.011,5,0.188,0.542,mcderdo01
Isaiah Hartenstein,23,LAC,C,68,0,1216,0.626,0.918,0.454,0.361,0.093,0,0.082,0.64,0.759,0.523,0.559,0,0.467,0.744,0.857,0.197,66,0.2,0.333,harteis01
Naz Reid,22,MIN,C,77,6,1215,0.489,0.651,0.395,0.242,0.008,0,0.349,0.568,0.681,0.374,0.5,0,0.343,0.608,0.982,0.097,39,0.223,0.486,reidna01
Lonzo Ball,24,CHI,PG,35,35,1212,0.423,0.321,0.154,0.047,0.057,0.063,0.679,0.423,0.61,0.333,0.273,0.167,0.423,0.404,0.845,0.018,6,0.235,0.475,balllo01
Aaron Wiggins,23,OKC,SG,50,35,1209,0.463,0.591,0.249,0.318,0.018,0.006,0.409,0.573,0.655,0.514,0.5,0.5,0.304,0.561,0.976,0.05,15,0.362,0.34,wiggiaa01
Malcolm Brogdon,29,IND,PG,36,36,1206,0.448,0.657,0.273,0.188,0.103,0.076,0.343,0.518,0.628,0.451,0.411,0.415,0.312,0.238,0.569,0.009,4,0.167,0.323,brogdma01
James Johnson,34,BKN,PF,62,10,1191,0.469,0.723,0.476,0.192,0.033,0.023,0.277,0.545,0.651,0.39,0.2,0.143,0.271,0.512,0.913,0.091,25,0.376,0.313,johnsja01
Jonathan Kuminga,19,GSW,SF,70,12,1185,0.513,0.676,0.341,0.276,0.043,0.015,0.324,0.598,0.771,0.433,0.4,0.286,0.336,0.608,1,0.172,74,0.349,0.25,kuminjo01
Jordan Nwora,23,MIL,SF,62,13,1185,0.403,0.509,0.188,0.128,0.095,0.091,0.491,0.455,0.667,0.356,0.341,0.31,0.348,0.617,0.709,0.03,10,0.291,0.348,nworajo01
Facundo Campazzo,30,DEN,PG,65,4,1184,0.361,0.348,0.149,0.142,0.041,0.017,0.652,0.476,0.614,0.381,0.25,0.6,0.301,0.388,0.741,0.003,0,0.197,0.289,campafa01
Shake Milton,25,PHI,SG,55,6,1179,0.429,0.67,0.199,0.278,0.136,0.057,0.33,0.481,0.7,0.402,0.4,0.304,0.323,0.369,0.93,0.005,1,0.233,0.355,miltosh01
Taurean Prince,27,MIN,PF,69,8,1177,0.454,0.413,0.174,0.138,0.059,0.038,0.587,0.565,0.676,0.463,0.609,0.333,0.376,0.681,0.942,0.023,7,0.402,0.446,princta02
Cam Thomas,20,BKN,SG,67,2,1176,0.433,0.654,0.107,0.145,0.25,0.151,0.346,0.52,0.574,0.521,0.548,0.434,0.27,0.415,0.702,0.002,0,0.172,0.433,thomaca02
CJ Elleby,21,POR,SF,58,28,1174,0.393,0.591,0.312,0.169,0.075,0.036,0.409,0.462,0.615,0.231,0.478,0.182,0.294,0.631,0.973,0.036,10,0.317,0.225,ellebcj01
JaVale McGee,34,PHX,C,74,17,1172,0.629,0.98,0.528,0.369,0.052,0.022,0.02,0.637,0.702,0.592,0.375,0.4,0.222,0.682,1,0.225,98,0,0,mcgeeja01
Frank Jackson,23,DET,PG,53,7,1164,0.402,0.422,0.166,0.159,0.068,0.029,0.578,0.529,0.725,0.338,0.515,0.5,0.308,0.676,0.942,0.01,5,0.33,0.402,jacksfr01
Hassan Whiteside,32,UTA,C,65,8,1162,0.652,1,0.552,0.376,0.058,0.015,0,0.652,0.802,0.516,0.263,0,0,0.637,0,0.282,86,0,0,whiteha01
Tre Jones,22,SAS,PG,69,11,1148,0.49,0.85,0.307,0.307,0.201,0.035,0.15,0.542,0.615,0.5,0.485,0.583,0.196,0.455,0.8,0.006,1,0.451,0.217,jonestr01
Alex Caruso,27,CHI,SG,41,18,1147,0.398,0.508,0.258,0.145,0.043,0.063,0.492,0.462,0.591,0.324,0.364,0.313,0.333,0.567,0.929,0.023,4,0.373,0.383,carusal01
Marvin Bagley III,22,TOT,PF,48,25,1146,0.504,0.783,0.327,0.363,0.081,0.011,0.217,0.579,0.795,0.457,0.306,0.2,0.237,0.658,0.913,0.126,52,0.485,0.213,baglema01
Nemanja Bjelica,33,GSW,C,71,0,1142,0.468,0.564,0.26,0.26,0.023,0.02,0.436,0.549,0.674,0.438,0.5,0.429,0.362,0.689,0.944,0.026,9,0.128,0.368,bjeline01
Ish Smith,33,TOT,PG,65,1,1126,0.43,0.844,0.2,0.172,0.205,0.267,0.156,0.441,0.5,0.392,0.364,0.487,0.373,0.181,0.72,0.002,1,0.224,0.533,smithis01
Joe Ingles,34,UTA,SF,45,15,1122,0.404,0.211,0.039,0.147,0.014,0.011,0.789,0.617,0.818,0.619,0.25,0.333,0.347,0.595,0.756,0,0,0.187,0.405,inglejo01
Garrett Temple,35,NOP,SG,59,16,1098,0.376,0.373,0.169,0.071,0.071,0.051,0.627,0.473,0.62,0.429,0.238,0.267,0.319,0.596,0.983,0.01,3,0.459,0.318,templga01
Stanley Johnson,25,LAL,PF,48,27,1094,0.466,0.582,0.243,0.215,0.088,0.036,0.418,0.575,0.738,0.37,0.682,0.444,0.314,0.548,0.939,0.008,2,0.39,0.244,johnsst04
Kyrie Irving,29,BKN,PG,29,29,1091,0.469,0.612,0.093,0.188,0.203,0.128,0.388,0.501,0.702,0.543,0.432,0.405,0.418,0.233,0.59,0.002,1,0.146,0.429,irvinky01
Nassir Little,21,POR,SF,42,23,1088,0.46,0.511,0.273,0.14,0.038,0.051,0.489,0.584,0.733,0.386,0.333,0.438,0.331,0.67,0.922,0.111,31,0.279,0.372,littlna01
Jeremiah Robinson-Earl,21,OKC,C,49,36,1087,0.414,0.491,0.244,0.151,0.062,0.034,0.509,0.478,0.608,0.429,0.2,0.273,0.352,0.75,1,0.056,15,0.279,0.348,robinje02
JaMychal Green,31,DEN,PF,67,8,1085,0.486,0.621,0.391,0.156,0.034,0.04,0.379,0.621,0.734,0.392,0.273,0.692,0.266,0.69,1,0.217,61,0.306,0.342,greenja01
Paul George,31,LAC,PF,31,31,1077,0.421,0.596,0.14,0.118,0.156,0.164,0.404,0.467,0.674,0.333,0.455,0.394,0.354,0.209,0.484,0.017,9,0.148,0.553,georgpa01
Richaun Holmes,28,SAC,C,45,37,1074,0.66,0.983,0.48,0.27,0.197,0.01,0.017,0.664,0.771,0.556,0.559,0.667,0.4,0.724,1,0.223,59,0,0,holmeri01
Kenrich Williams,27,OKC,SF,49,0,1072,0.461,0.618,0.24,0.224,0.079,0.069,0.382,0.536,0.645,0.479,0.48,0.409,0.339,0.581,0.805,0.082,23,0.331,0.35,willike04
Dewayne Dedmon,32,MIA,C,67,15,1065,0.566,0.838,0.424,0.283,0.062,0.038,0.162,0.597,0.691,0.537,0.444,0.182,0.404,0.69,0.947,0.121,30,0.106,0.4,dedmode01
Damian Lillard,31,POR,PG,29,29,1056,0.402,0.486,0.23,0.069,0.069,0.098,0.514,0.485,0.575,0.316,0.447,0.481,0.324,0.192,0.446,0.005,2,0.053,0.4,lillada01
Troy Brown Jr.,22,CHI,SF,66,7,1055,0.419,0.484,0.283,0.132,0.027,0.043,0.516,0.488,0.562,0.412,0.143,0.455,0.353,0.672,0.957,0.027,5,0.594,0.342,browntr01
LaMarcus Aldridge,36,BKN,C,47,12,1050,0.55,0.9,0.205,0.168,0.24,0.277,0.1,0.578,0.723,0.519,0.509,0.559,0.304,0.739,1,0.039,18,0.283,0.308,aldrila01
Larry Nance Jr.,29,TOT,PF,46,11,1040,0.522,0.717,0.445,0.17,0.057,0.024,0.283,0.599,0.7,0.476,0.214,0.333,0.329,0.66,1,0.178,40,0.3,0.381,nancela02
Josh Green,21,DAL,SG,67,3,1039,0.508,0.695,0.328,0.227,0.098,0.043,0.305,0.573,0.786,0.397,0.4,0.273,0.359,0.784,1,0.082,20,0.679,0.396,greenjo02
Rudy Gay,35,UTA,PF,55,1,1038,0.414,0.464,0.142,0.15,0.111,0.061,0.536,0.494,0.778,0.333,0.405,0.391,0.345,0.506,0.929,0.047,14,0.286,0.379,gayru01
DeAndre' Bembry,27,TOT,SF,56,20,1026,0.561,0.837,0.575,0.24,0,0.005,0.163,0.589,0.669,0.415,0,0,0.417,0.716,1,0.104,20,0.611,0.545,bembrde01
Aaron Holiday,25,TOT,PG,63,15,1021,0.447,0.695,0.175,0.293,0.16,0.056,0.305,0.477,0.61,0.475,0.389,0.263,0.379,0.348,0.692,0.003,0,0.155,0.438,holidaa01
Damian Jones,26,SAC,C,56,15,1017,0.658,0.891,0.489,0.241,0.06,0.102,0.109,0.696,0.877,0.469,0.438,0.519,0.345,0.794,0.9,0.252,57,0.241,0.286,jonesda03
