Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Dorian Finney-Smith,28,DAL,PF,80,80,2644,326,692,172,435,154,257,0.595,56,83,122,253,375,150,88,39,80,183,880,finnedo01
Luguentz Dort,22,OKC,SG,51,51,1665,293,726,130,391,163,335,0.493,161,191,38,174,212,88,46,18,88,149,877,dortlu01
John Collins,24,ATL,PF,54,53,1663,339,644,64,176,275,468,0.576,134,169,93,329,422,98,33,56,60,164,876,collijo01
Terance Mann,25,LAC,SF,81,33,2317,334,690,76,208,258,482,0.539,128,164,104,321,425,209,55,21,84,178,872,mannte01
Devin Vassell,21,SAS,SF,71,32,1937,326,764,137,380,189,384,0.516,83,99,44,262,306,136,76,41,58,143,872,vassede01
Dennis Schröder,28,TOT,PG,64,29,1837,312,724,86,250,226,474,0.49,157,184,34,180,214,296,53,8,143,154,867,schrode01
Duncan Robinson,27,MIA,SG,79,68,2043,290,726,232,624,58,102,0.559,51,61,24,179,203,129,42,14,60,201,863,robindu01
Davion Mitchell,23,SAC,PG,75,19,2076,352,843,101,320,251,523,0.477,56,85,33,133,166,313,55,24,114,141,861,mitchda01
Marcus Smart,27,BOS,PG,71,71,2296,300,718,119,360,181,358,0.501,142,179,42,228,270,417,119,18,159,160,861,smartma01
Norman Powell,28,TOT,SF,45,41,1458,279,605,106,253,173,352,0.549,189,233,20,125,145,96,42,21,69,106,853,powelno01
Lonnie Walker IV,23,SAS,SG,70,6,1612,311,764,111,353,200,411,0.48,116,148,18,163,181,152,44,19,71,98,849,walkelo01
Kyle Lowry,35,MIA,PG,63,63,2133,276,627,144,382,132,245,0.555,148,174,33,249,282,474,67,17,168,177,844,lowryky01
Jusuf Nurkić,27,POR,C,56,56,1579,321,600,15,56,306,544,0.548,185,268,167,452,619,157,62,34,143,189,842,nurkiju01
Luke Kennard,25,LAC,SG,70,13,1919,287,639,190,423,97,216,0.598,69,77,20,209,229,146,42,6,60,101,833,kennalu01
Marcus Morris,32,LAC,PF,54,54,1564,300,691,101,275,199,416,0.507,129,148,26,213,239,113,28,18,69,115,830,morrima03
OG Anunoby,24,TOR,SF,48,48,1728,309,697,115,317,194,380,0.526,89,118,74,190,264,125,71,25,80,131,822,anunoog01
Cameron Johnson,25,PHX,PF,66,16,1730,279,607,166,391,113,216,0.596,98,114,42,231,273,99,57,16,47,113,822,johnsca02
Clint Capela,27,ATL,C,74,73,2042,370,604,0,1,370,603,0.613,80,169,279,598,877,92,55,93,44,166,820,capelca01
Josh Hart,26,TOT,SG,54,53,1791,287,569,73,213,214,356,0.569,160,211,62,326,388,224,61,13,114,150,807,hartjo01
Kyrie Irving,29,BKN,PG,29,29,1091,289,616,100,239,189,377,0.55,118,129,16,111,127,167,41,17,73,81,796,irvinky01
De'Anthony Melton,23,MEM,SG,73,15,1657,281,695,139,372,142,323,0.504,90,120,64,264,328,194,104,39,112,128,791,meltode01
Trey Lyles,26,TOT,PF,75,23,1537,262,562,67,209,195,353,0.526,195,243,89,290,379,88,29,32,73,123,786,lylestr01
Ivica Zubac,24,LAC,C,76,76,1852,310,495,0,0,310,495,0.626,165,227,217,427,644,120,36,77,114,203,785,zubaciv01
Gordon Hayward,31,CHA,SF,49,48,1564,283,617,86,220,197,397,0.528,126,149,38,186,224,177,47,22,81,85,778,haywago01
Jeff Green,35,DEN,PF,75,63,1849,277,529,53,168,224,361,0.574,165,198,41,190,231,96,28,27,71,151,772,greenje02
Coby White,21,CHI,PG,61,17,1675,279,644,136,353,143,291,0.539,78,91,17,165,182,176,29,11,70,137,772,whiteco01
Danilo Gallinari,33,ATL,PF,66,18,1672,259,597,112,294,147,303,0.528,141,156,35,273,308,101,28,12,38,93,771,gallida01
Eric Gordon,33,HOU,SG,57,46,1669,268,564,124,301,144,263,0.585,105,135,15,98,113,154,28,18,107,63,765,gordoer01
Mo Bamba,23,ORL,C,71,69,1824,296,617,107,281,189,336,0.566,57,73,148,424,572,85,38,118,77,182,756,bambamo01
Chris Boucher,29,TOR,SF,80,9,1690,268,577,68,229,200,348,0.523,150,193,179,315,494,25,49,75,42,174,754,bouchch01
Paul George,31,LAC,PF,31,31,1077,268,636,91,257,177,379,0.493,127,148,12,201,213,176,67,13,126,74,754,georgpa01
Justin Holiday,32,TOT,SF,74,65,2057,261,662,177,482,84,180,0.528,50,62,29,161,190,128,57,33,70,154,749,holidju01
Darius Bazley,21,OKC,PF,69,53,1924,274,649,80,269,194,380,0.484,117,170,71,365,436,97,58,70,90,68,745,bazleda01
Herbert Jones,23,NOP,PF,78,69,2335,274,576,57,169,217,407,0.525,137,163,98,198,296,167,130,60,100,238,742,joneshe01
Grayson Allen,26,MIL,SG,66,61,1805,255,569,159,389,96,180,0.588,64,74,32,190,222,100,46,18,43,96,733,allengr01
Max Strus,25,MIA,SF,68,16,1587,249,564,181,442,68,122,0.602,42,53,24,178,202,92,28,16,57,116,721,strusma01
Chris Duarte,24,IND,SG,55,39,1541,268,621,94,255,174,366,0.507,90,112,41,185,226,114,56,10,90,95,720,duartch01
Dwight Powell,30,DAL,C,82,71,1798,269,401,13,37,256,364,0.687,166,212,173,231,404,97,37,39,64,220,717,poweldw01
De'Andre Hunter,24,ATL,SF,53,52,1577,254,575,74,195,180,380,0.506,127,166,26,150,176,68,36,21,69,155,709,huntede01
Cedi Osman,26,CLE,SF,66,3,1462,247,572,128,359,119,213,0.544,87,131,25,121,146,135,52,10,67,127,709,osmande01
Al Horford,35,BOS,C,69,69,2005,266,569,89,265,177,304,0.546,80,95,108,422,530,232,49,92,65,130,701,horfoal01
Georges Niang,28,PHI,PF,76,7,1736,246,563,156,387,90,176,0.575,52,59,25,178,203,102,30,13,59,190,700,niangge01
