Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off., Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Luke Kennard,28,MEM,SG,65,11,1472,3.3,-2.6,45,20,27,3,15,1,513,4,11,kennalu01
Jamal Shead,22,TOR,PG,75,11,1467,-7.5,-5,84,18,71,6,36,29,773,15,29,sheadja01
Aaron Gordon,29,DEN,PF,51,42,1447,9.6,8.8,40,14,53,10,91,6,382,17,37,gordoaa01
Isaiah Stewart,23,DET,C,72,4,1434,0.6,-2.1,19,14,85,25,40,4,310,11,12,stewais01
Brice Sensabaugh,21,UTA,SF,71,15,1432,-10.6,-2.1,62,25,55,7,37,3,260,13,27,sensabr01
Goga Bitadze,25,ORL,C,70,42,1430,2.2,4.2,21,17,75,19,56,4,327,11,23,bitadgo01
Kel'el Ware,20,MIA,C,64,36,1422,2.1,2.3,28,12,87,10,34,3,143,7,17,wareke01
Tari Eason,23,HOU,PF,57,16,1420,5.6,2,30,14,64,9,49,1,201,11,45,easonta01
Zach Edey,22,MEM,C,66,55,1416,5.7,1.1,26,21,108,25,65,1,165,24,31,edeyza01
T.J. McConnell,32,IND,PG,79,1,1415,-1,-5.2,64,36,44,1,31,32,855,5,42,mccontj01
Terance Mann,28,TOT,SG,67,13,1414,-2.3,-5,23,18,55,5,32,8,289,7,28,mannte01
Ryan Dunn,22,PHX,SF,74,44,1410,-1.7,1.6,18,12,93,7,19,3,146,2,21,dunnry01
Sam Merrill,28,CLE,SG,71,4,1401,10.8,1.6,23,3,65,5,5,20,265,0,15,merrisa01
Ayo Dosunmu,25,CHI,SG,46,26,1394,-7.1,-9.1,41,17,52,2,34,3,509,10,34,dosunay01
Ty Jerome,27,CLE,SG,70,3,1392,9.6,-0.3,42,36,33,4,74,2,576,22,27,jeromty01
Julian Strawther,22,DEN,SG,65,4,1384,-2.7,-10.3,22,17,87,12,34,6,204,7,19,strawju01
Nick Smith Jr.,20,CHA,SG,60,27,1369,-15,-8.6,52,23,43,2,15,4,348,3,23,smithni01
Jaime Jaquez Jr.,23,MIA,SF,66,17,1368,-5.3,-9,43,38,51,6,72,1,411,17,60,jaqueja01
Nicolas Batum,36,LAC,PF,78,8,1367,5.9,2.1,22,3,55,6,9,2,202,2,5,batumni01
Jose Alvarado,26,NOP,PG,56,23,1366,-9.2,0.7,64,17,31,1,33,16,597,9,24,alvarjo01
Jeremy Sochan,21,SAS,PF,54,23,1364,-2.7,0.5,32,26,48,16,61,3,309,17,46,sochaje01
Luke Kornet,29,BOS,C,73,16,1361,14.7,8.4,12,6,80,10,50,6,309,9,21,kornelu01
Trey Lyles,29,SAC,PF,69,5,1349,-2.5,-4.6,20,11,56,5,37,11,200,6,12,lylestr01
Jake LaRavia,23,TOT,PF,66,0,1349,5.1,2.3,39,26,64,9,51,7,391,7,26,laravja01
