Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Sam Hauser,25,BOS,SF,80,8,16.1,2.6,0.9,6.4,hausesa01
Isaac Okoro,22,CLE,SF,76,46,21.7,2.5,1.1,6.4,okorois01
Duncan Robinson,28,MIA,SF,42,1,16.5,1.6,1.1,6.4,robindu01
Goran Dragić,36,TOT,PG,58,0,15,1.4,2.6,6.3,dragigo01
Simone Fontecchio,27,UTA,SF,52,6,14.7,1.7,0.8,6.3,fontesi01
Patrick Beverley,34,TOT,SG,67,67,27.1,3.7,2.9,6.2,beverpa01
Nickeil Alexander-Walker,24,TOT,SG,59,3,15,1.7,1.8,6.2,alexani01
Jared Butler,22,OKC,PG,6,1,12.8,0.7,1.3,6.2,butleja02
Quenton Jackson,24,WAS,PG,9,0,15,0.9,1.7,6.2,jacksqu01
Patty Mills,34,BKN,PG,40,2,14.2,1.1,1.4,6.2,millspa02
Sandro Mamukelashvili,23,TOT,C,43,7,15.3,4.3,1.4,6.1,mamuksa01
Mike Muscala,31,TOT,C,63,9,15,3.2,0.8,6.1,muscami01
Nicolas Batum,34,LAC,PF,78,19,21.9,3.8,1.6,6.1,batumni01
Oshae Brissett,24,IND,PF,65,2,16.7,3.4,0.7,6.1,brissos01
Evan Fournier,30,NYK,SG,27,7,17,1.8,1.3,6.1,fournev01
Saben Lee,23,TOT,PG,25,1,14.9,1.8,2.7,6,leesa01
Robert Covington,32,LAC,PF,48,0,16.2,3.5,1.2,6,covinro01
Andre Drummond,29,CHI,C,67,0,12.7,6.6,0.5,6,drumman01
Maxi Kleber,31,DAL,PF,37,5,25.1,3.6,1.4,5.9,klebima01
Jaylin Williams,20,OKC,C,49,36,18.7,4.9,1.6,5.9,willija07
Josh Christopher,21,HOU,SG,64,2,12.3,1.1,1.1,5.8,chrisjo01
Johnny Davis,20,WAS,SG,28,5,15.1,2.3,1,5.8,davisjo06
Stanley Johnson,26,SAS,SF,30,0,15.6,3.2,2.2,5.8,johnsst04
Charles Bassey,22,SAS,C,35,2,14.5,5.5,1.4,5.7,bassech01
Rodney McGruder,31,DET,SG,32,12,16.4,2.3,0.9,5.7,mcgruro01
Ziaire Williams,21,MEM,SF,37,4,15.2,2.1,0.9,5.7,willizi02
James Bouknight,22,CHA,SG,34,0,15.1,2.1,1.2,5.6,bouknja01
Alex Caruso,28,CHI,PG,67,36,23.5,2.9,2.9,5.6,carusal01
Montrezl Harrell,29,PHI,C,57,7,11.9,2.8,0.6,5.6,harremo01
Jalen Johnson,21,ATL,SF,70,6,14.9,4,1.2,5.6,johnsja05
Davion Mitchell,24,SAC,PG,80,9,18.1,1.3,2.3,5.6,mitchda01
Payton Pritchard,25,BOS,PG,48,3,13.4,1.8,1.3,5.6,pritcpa01
Derrick Rose,34,NYK,PG,27,0,12.5,1.5,1.7,5.6,rosede01
Yuta Watanabe,28,BKN,SF,58,1,16,2.4,0.8,5.6,watanyu01
Danny Green,35,TOT,SG,11,0,12.5,1.3,0.5,5.5,greenda02
Jarrell Brantley,26,UTA,PF,4,0,9.8,1.5,0.8,5.5,brantja01
Wenyen Gabriel,25,LAL,C,68,2,15.1,4.2,0.5,5.5,gabriwe01
Nikola Jović,19,MIA,PF,15,8,13.6,2.1,0.7,5.5,jovicni01
Otto Porter Jr.,29,TOR,SF,8,2,18.3,2.4,1,5.5,porteot01
Jamal Cain,23,MIA,PF,18,0,13.3,2.9,0.7,5.4,cainja01
Bryce McGowens,20,CHA,SG,46,7,17.1,2,1.2,5.3,mcgowbr01
Lamar Stevens,25,CLE,SF,62,25,18.1,3.3,0.5,5.3,stevela01
Dewayne Dedmon,33,TOT,C,38,1,11.2,3.5,0.7,5.2,dedmode01
Darius Bazley,22,TOT,C,43,1,14.3,3.2,0.9,5.2,bazleda01
Rudy Gay,36,UTA,PF,56,0,14.6,2.9,1,5.2,gayru01
Javonte Green,29,CHI,SF,32,1,15,2.8,0.7,5.2,greenja02
Zeke Nnaji,22,DEN,PF,53,5,13.7,2.6,0.3,5.2,nnajize01
Ricky Rubio,32,CLE,PG,33,2,17.2,2.1,3.5,5.2,rubiori01
Lindy Waters III,25,OKC,SG,41,0,13,1.8,0.7,5.2,waterli01
MarJon Beauchamp,22,MIL,SF,52,11,13.5,2.2,0.7,5.1,beaucma01
DeAndre Jordan,34,DEN,C,39,8,15,5.2,0.9,5.1,jordade01
John Konchar,26,MEM,SF,72,23,20.8,4.3,1.4,5.1,konchjo01
George Hill,36,TOT,SG,46,1,18.1,1.8,2.4,5,hillge01
Vlatko Čančar,25,DEN,PF,60,9,14.8,2.1,1.3,5,cancavl01
Isaiah Hartenstein,24,NYK,C,82,8,19.8,6.5,1.2,5,harteis01
Jaxson Hayes,22,NOP,C,47,2,13,2.8,0.7,5,hayesja02
Jonathan Isaac,25,ORL,PF,11,0,11.3,4,0.5,5,isaacjo01
Derrick Jones Jr.,25,CHI,PF,64,0,14,2.4,0.5,5,jonesde02
Kenneth Lofton Jr.,20,MEM,PF,24,1,7.3,2.1,0.8,5,loftoke01
Cody Martin,27,CHA,SF,7,0,19.1,3.4,1.6,5,martico01
Sam Merrill,26,CLE,SG,5,0,11.8,1.8,1,5,merrisa01
Blake Wesley,19,SAS,SG,37,1,18.1,2.2,2.6,5,weslebl01
Ousmane Dieng,19,OKC,PF,39,1,14.6,2.7,1.2,4.9,diengou01
Chimezie Metu,25,SAC,PF,66,0,10.4,3,0.6,4.9,metuch01
Austin Rivers,30,MIN,SG,52,10,19.5,1.6,1.4,4.9,riverau01
Danuel House Jr.,29,PHI,SF,56,5,14.4,1.7,0.8,4.8,houseda01
Johnny Juzang,21,UTA,SG,18,0,12.9,2.2,0.4,4.8,juzanjo01
