Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on  0-3,FG% on  3-10,FG% on  10-16,FG% on  16-3P,FG% on  3P,% of 2PFG assisted,% of 3PFG assited,%FGA that are dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Moses Moody,20,GSW,SG,63,3,817,0.476,0.405,0.225,0.132,0.031,0.018,0.595,0.641,0.725,0.5,0.429,1,0.363,0.695,0.98,0.101,19,0.348,0.34,moodymo01
Rudy Gay,36,UTA,PF,56,0,816,0.38,0.547,0.105,0.174,0.157,0.111,0.453,0.484,0.667,0.44,0.422,0.469,0.254,0.526,1,0.045,11,0.338,0.318,gayru01
Ty Jerome,25,GSW,SG,45,2,816,0.488,0.628,0.095,0.306,0.182,0.045,0.372,0.546,0.739,0.527,0.523,0.364,0.389,0.41,0.857,0,0,0.233,0.524,jeromty01
Jeremiah Robinson-Earl,22,OKC,PF,43,20,814,0.444,0.552,0.395,0.101,0.02,0.036,0.448,0.533,0.612,0.32,0.6,0.222,0.333,0.795,1,0.085,18,0.351,0.333,robinje02
Jericho Sims,24,NYK,C,52,16,812,0.776,0.991,0.832,0.103,0.056,0,0.009,0.783,0.831,0.545,0.5,0,0,0.711,0,0.626,61,0,0,simsje01
Caleb Houstan,20,ORL,SF,51,4,812,0.363,0.253,0.159,0.038,0.005,0.049,0.747,0.435,0.483,0.429,0,0.333,0.338,0.65,1,0.005,0,0.338,0.478,houstca01
Danuel House Jr.,29,PHI,SF,56,5,807,0.472,0.442,0.279,0.086,0.03,0.036,0.558,0.644,0.727,0.412,0.833,0.286,0.336,0.714,0.892,0.071,12,0.464,0.333,houseda01
Landry Shamet,25,PHX,SG,40,9,807,0.377,0.337,0.137,0.067,0.077,0.057,0.663,0.376,0.537,0.25,0.261,0.294,0.377,0.605,0.88,0.013,2,0.226,0.467,shamela01
Dario Šarić,28,TOT,C,57,12,806,0.458,0.585,0.242,0.224,0.072,0.047,0.415,0.506,0.731,0.403,0.3,0.154,0.391,0.671,1,0.004,0,0.252,0.448,saricda01
Luke Kornet,27,BOS,C,69,0,804,0.665,0.924,0.647,0.206,0.041,0,0.076,0.701,0.773,0.6,0.286,0,0.231,0.745,1,0.371,59,0.538,0.286,kornelu01
Christian Koloko,22,TOR,C,58,19,802,0.48,0.92,0.633,0.213,0.067,0.007,0.08,0.514,0.6,0.313,0.4,0,0.083,0.704,1,0.32,36,0.5,0.167,kolokch01
Khris Middleton,31,MIL,SF,33,19,801,0.436,0.601,0.111,0.18,0.175,0.135,0.399,0.516,0.644,0.548,0.423,0.491,0.315,0.333,0.608,0.002,1,0.142,0.391,middlkh01
JaMychal Green,32,GSW,PF,57,1,797,0.54,0.56,0.345,0.171,0.016,0.028,0.44,0.667,0.701,0.674,0.5,0.286,0.378,0.66,1,0.246,52,0.387,0.372,greenja01
